sample_id,time_step,target,Open,High,Low,Close,Volume,returns,sma_5,sma_20,rsi,volume_z
0,0,,235.0399932861328,243.6199951171875,233.33999633789062,241.1999969482422,122288000.0,0.023769060694616817,237.50599975585936,220.2324996948242,72.26257616229705,0.6569110353371858
0,1,,242.0399932861328,244.00999450683594,231.39999389648438,234.2100067138672,117950600.0,-0.028980059381488954,235.78000183105468,221.3220001220703,60.61384332682825,0.529441749754194
0,2,,233.75,238.75,232.3300018310547,235.4499969482422,65125200.0,0.00529435207219775,236.152001953125,222.80650024414064,60.50168115499781,-1.0230127157402888
0,3,,236.88999938964844,238.3300018310547,232.10000610351562,236.0800018310547,112031800.0,0.0026757481035388775,236.50800170898438,224.24550018310546,61.40588056019572,0.35549763403772533
0,4,,236.67999267578125,247.0,234.00999450683594,246.72000122070312,148549900.0,0.04506946504203557,238.73200073242188,226.71350021362304,65.07000459113306,1.4287064959937932
0,5,,249.2100067138672,252.75,242.75999450683594,244.13999938964844,135401300.0,-0.010457205813430348,239.32000122070312,228.87850036621094,63.124021819989814,1.042290060245067
0,6,,245.13999938964844,245.22000122070312,236.91000366210938,240.0800018310547,132353200.0,-0.016629792613843564,240.49400024414064,230.5995002746582,69.83917239705042,0.9527112505006311
0,7,,233.13999938964844,240.19000244140625,231.89999389648438,238.8300018310547,121331700.0,-0.005206597761023168,241.1700012207031,231.61550064086913,66.68966975415552,0.6288068997252949
0,8,,235.75,239.3699951171875,233.2899932861328,235.5800018310547,104099800.0,-0.01360800559009756,241.07000122070312,232.39650039672853,58.90738645497117,0.12238877314311332
0,9,,233.8699951171875,246.66000366210938,233.6999969482422,238.72000122070312,137971100.0,0.013328802806870987,239.47000122070312,233.36900024414064,51.16816815889206,1.1178123939221944
0,10,,242.9199981689453,246.57000732421875,239.1699981689453,239.3699951171875,126436200.0,0.002722829646282676,238.51600036621093,234.22850036621094,46.617258958771934,0.7788200339205228
0,11,,241.5500030517578,244.0800018310547,236.97999572753906,242.63999938964844,107142300.0,0.01366087788429815,239.0279998779297,235.25500030517577,59.986746624162514,0.2118030077966505
0,12,,240.27000427246094,245.27000427246094,239.27000427246094,243.83999633789062,103126800.0,0.0049455858525417895,240.02999877929688,236.94800033569337,60.4148276102803,0.09379385109943486
0,13,0.009619842336358264,242.74000549316406,243.44000244140625,237.4499969482422,239.74000549316406,97913900.0,-0.01681426716823431,240.86199951171875,238.20250091552734,54.2592464779717,-0.05940498664104963
1,0,,242.0399932861328,244.00999450683594,231.39999389648438,234.2100067138672,117950600.0,-0.028980059381488954,235.78000183105468,221.3220001220703,60.61384332682825,0.529441749754194
1,1,,233.75,238.75,232.3300018310547,235.4499969482422,65125200.0,0.00529435207219775,236.152001953125,222.80650024414064,60.50168115499781,-1.0230127157402888
1,2,,236.88999938964844,238.3300018310547,232.10000610351562,236.0800018310547,112031800.0,0.0026757481035388775,236.50800170898438,224.24550018310546,61.40588056019572,0.35549763403772533
