Date,Close,High,Low,Open,Volume,returns,sma_5,sma_20,rsi,volume_z,USD_KRW,NASDAQ,VIX,priceEarningsRatio,forwardPE,priceToBook,sentiment_mean,sentiment_vol
2023-11-09,10.75,10.75,10.75,10.75,2000,0.0037348236891274755,10.701999855041503,10.692999792098998,62.4964040578269,-0.4879108409472707,1308.1199951171875,13521.4501953125,15.289999961853027,5.375,5.972222222222222,7.166666666666667,0.0015652503344024311,0.005485216410839937
2023-11-10,10.75,10.75,10.75,10.75,0,0.0,10.711999893188477,10.695999813079833,62.4964040578269,-0.48810796000149154,1315.199951171875,13798.1103515625,14.170000076293945,5.375,5.972222222222222,7.166666666666667,0.003122888702818368,0.0028663379811277815
2023-11-13,10.75,10.75,10.75,10.75,0,0.0,10.72199993133545,10.697499799728394,62.4964040578269,-0.48810796000149154,1319.6199951171875,13767.740234375,14.760000228881836,5.375,5.972222222222222,7.166666666666667,0.0012449412297091584,0.002156301462293538
2023-11-14,10.75,10.75,10.75,10.75,0,0.0,10.742000007629395,10.70049982070923,62.4964040578269,-0.48810796000149154,1319.0699462890625,14094.3798828125,14.15999984741211,5.375,5.972222222222222,7.166666666666667,0.0,0.0
2023-11-15,10.725000381469727,10.725000381469727,10.710000038146973,10.710000038146973,20400,-0.0023255459097928366,10.745000076293945,10.70224986076355,58.82027807737567,-0.48609734564843954,1304.239990234375,14103.83984375,14.180000305175781,5.362500190734863,5.958333545260959,7.150000254313151,-0.0007751819699309456,0.0013426545570317243
2023-11-16,10.75,10.75,10.75,10.75,200,0.0023309666798210227,10.745000076293945,10.705249881744384,69.99615650918079,-0.48808824809606943,1301.8599853515625,14113.669921875,14.319999694824219,5.375,5.972222222222222,7.166666666666667,1.8069233427286946e-06,0.0023282568206787367
2023-11-17,10.75,10.75,10.75,10.75,0,0.0,10.745000076293945,10.70824990272522,65.90487724519099,-0.48810796000149154,1292.449951171875,14125.48046875,13.800000190734863,5.375,5.972222222222222,7.166666666666667,1.8069233427286946e-06,0.0023282568206787367
2023-11-20,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,500,0.00186050769894619,10.74900016784668,10.712249946594238,65.90502503398362,-0.4880586802379363,1294.5,14284.5302734375,13.40999984741211,5.385000228881836,5.983333587646484,7.180000305175781,0.0013971581262557375,0.0012326276954106098
2023-11-21,10.75,10.75,10.699999809265137,10.699999809265137,400,-0.0018570526382154506,10.74900016784668,10.715249967575073,60.41315085524063,-0.4880685361906474,1288.1500244140625,14199.98046875,13.350000381469727,5.375,5.972222222222222,7.166666666666667,1.1516869102464373e-06,0.001858780436172166
2023-11-22,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,200,-0.00186050769894619,10.75,10.717249965667724,55.76615039868216,-0.48808824809606943,1295.18994140625,14265.8603515625,12.850000381469727,5.364999771118164,5.96111085679796,7.153333028157552,-0.0006190175460718169,0.002147332546410164
2023-11-24,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,100,0.0037279512799501813,10.754000091552735,10.721749973297118,61.66381553283476,-0.48809810404878046,1300.1800537109375,14250.849609375,12.460000038146973,5.385000228881836,5.983333587646484,7.180000305175781,3.4636475961802304e-06,0.003225501368319286
2023-11-27,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,100,0.0,10.75800018310547,10.727750015258788,61.66381553283476,-0.48809810404878046,1289.7900390625,14241.01953125,12.6899995803833,5.385000228881836,5.983333587646484,7.180000305175781,0.0006224811936679971,0.0028457565895653497
2023-11-28,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,700,-0.0037141052764309013,10.75,10.730249977111816,63.789876551447506,-0.48803896833251426,1302.530029296875,14281.759765625,12.6899995803833,5.364999771118164,5.96111085679796,7.153333028157552,4.6153345064266676e-06,0.0037210304249062666
