sample_id,time_step,target,Open,High,Low,Close,Volume,returns,sma_5,sma_20,rsi,volume_z
10,6,0.7580519,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
11,0,0.7556952,0.7712,0.7205993,0.9082397,0.75726634,1.0607694e-06,0.31663275,0.90448576,0.91805553,0.6166861,1.0607694e-06
11,1,0.7556952,0.76799995,0.71760297,0.90449435,0.7541241,7.4253853e-06,0.31197226,0.9037324,0.9182992,0.6379484,7.4253853e-06
11,2,0.7556952,0.7712,0.7205993,0.9035581,0.75333863,1.4850771e-05,0.3154634,0.9031675,0.9183967,0.5208438,1.4850771e-05
11,3,0.7556952,0.7664,0.7213483,0.90262175,0.7580519,2.8640772e-05,0.32365584,0.90410906,0.9187865,0.55770487,2.8640772e-05
11,4,0.7556952,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9042974,0.9191764,0.55770487,0.0
11,5,0.7556952,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
11,6,0.7556952,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
12,0,0.759623,0.76799995,0.71760297,0.90449435,0.7541241,7.4253853e-06,0.31197226,0.9037324,0.9182992,0.6379484,7.4253853e-06
12,1,0.759623,0.7712,0.7205993,0.9035581,0.75333863,1.4850771e-05,0.3154634,0.9031675,0.9183967,0.5208438,1.4850771e-05
12,2,0.759623,0.7664,0.7213483,0.90262175,0.7580519,2.8640772e-05,0.32365584,0.90410906,0.9187865,0.55770487,2.8640772e-05
12,3,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9042974,0.9191764,0.55770487,0.0
12,4,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
12,5,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
12,6,0.759623,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
13,0,0.759623,0.7712,0.7205993,0.9035581,0.75333863,1.4850771e-05,0.3154634,0.9031675,0.9183967,0.5208438,1.4850771e-05
13,1,0.759623,0.7664,0.7213483,0.90262175,0.7580519,2.8640772e-05,0.32365584,0.90410906,0.9187865,0.55770487,2.8640772e-05
13,2,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9042974,0.9191764,0.55770487,0.0
13,3,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
13,4,0.759623,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
13,5,0.759623,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
13,6,0.759623,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
14,0,0.7588374,0.7664,0.7213483,0.90262175,0.7580519,2.8640772e-05,0.32365584,0.90410906,0.9187865,0.55770487,2.8640772e-05
14,1,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9042974,0.9191764,0.55770487,0.0
14,2,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
14,3,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
14,4,0.7588374,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
14,5,0.7588374,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
14,6,0.7588374,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
15,0,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9042974,0.9191764,0.55770487,0.0
15,1,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
15,2,0.7588374,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
15,3,0.7588374,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
15,4,0.7588374,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
15,5,0.7588374,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
15,6,0.7588374,0.77279997,0.7220974,0.9101124,0.7588374,6.364616e-06,0.31547084,0.90693384,0.9213207,0.5357281,6.364616e-06
16,0,0.75726634,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9044857,0.9195663,0.55770487,0.0
16,1,0.75726634,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
16,2,0.75726634,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
16,3,0.75726634,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
16,4,0.75726634,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
16,5,0.75726634,0.77279997,0.7220974,0.9101124,0.7588374,6.364616e-06,0.31547084,0.90693384,0.9213207,0.5357281,6.364616e-06
16,6,0.75726634,0.77279997,0.7220974,0.9101124,0.7588374,4.7734622e-05,0.31663275,0.90712214,0.9215156,0.5769365,4.7734622e-05
17,0,0.7549097,0.77199996,0.7213483,0.909176,0.7580519,0.0,0.31663275,0.9054273,0.91995615,0.55770487,0.0
