Date,ticker,weekofyear_sin,weekofyear_cos,log_ret_lag1,ret_3d,mom_10,ma_200,macd,bbp,adx_14,obv,vol_ma_20,vol_chg,vol_20d,Close
2023-10-12,TSLA,-0.97094184,0.23931566,-0.0023926822,-0.0030809038,12.48999,210.9413,1.922472,0.5748945,12.40476,3822100200.0,116489270.0,0.07522976,0.022265956,258.8699951171875
2023-10-13,TSLA,-0.97094184,0.23931566,-0.015789986,-0.047416735,0.8999939,211.6514,1.2405884,0.38175678,11.885254,3720026400.0,114908344.0,-0.08460641,0.023066368,251.1199951171875
2023-10-16,TSLA,-0.9350162,0.3546049,-0.030395092,-0.034487974,2.319992,212.35745,0.91557336,0.48463118,11.592538,3808943600.0,114277040.0,-0.12889302,0.022245836,253.9199981689453
2023-10-17,TSLA,-0.9350162,0.3546049,0.011088356,-0.015528988,8.320007,213.0226,0.72468674,0.53584814,11.090406,3902506500.0,113769980.0,0.052247483,0.022232303,254.8500061035156
2023-10-18,TSLA,-0.9350162,0.3546049,0.0036559112,-0.03360944,-18.480011,213.6201,-0.40395415,0.15370995,11.189861,3777358600.0,113901650.0,0.3375793,0.024354149,242.67999267578125
2023-10-19,TSLA,-0.9350162,0.3546049,-0.048931487,-0.13315217,-39.939987,214.18015,-3.0840688,-0.25061765,13.22883,3606586000.0,116442700.0,0.36456814,0.031220559,220.1100006103516
2023-10-20,TSLA,-0.9350162,0.3546049,-0.09761625,-0.16817735,-48.539993,214.6719,-5.7964764,-0.19405699,15.45683,3468576000.0,116967010.0,-0.19184917,0.030919649,211.9900054931641
2023-10-23,TSLA,-0.885456,0.46472317,-0.037588295,-0.12609194,-47.59001,215.1806,-7.848346,-0.060942817,17.900103,3619259400.0,119269340.0,0.091828786,0.030759629,212.0800018310547
2023-10-24,TSLA,-0.885456,0.46472317,0.00042444095,-0.01631001,-47.09999,215.6979,-9.012308,0.07034907,19.515453,3737490400.0,120081220.0,-0.21536745,0.031364977,216.5200042724609
2023-10-25,TSLA,-0.885456,0.46472317,0.020719372,0.002028363,-50.569992,216.16115,-10.148606,0.07017235,21.118237,3630425300.0,118604616.0,-0.09444216,0.031442605,212.4199981689453
