sample_id,time_step,target,date,returns,sma_5,sma_20,rsi,volume_z,USD_KRW,NASDAQ,VIX,sentiment_mean,sentiment_vol,Open,High,Low,Close,Volume
0,0,,2021-12-23,0.0036439718678593636,169.60215759277344,166.78819274902344,66.10889434814453,0.06904961913824081,1187.77001953125,15653.3701171875,17.959999084472656,0.012683132663369179,0.008051643148064613,172.23690795898438,173.2163543701172,171.6688232421875,172.65806579589844,68356600.0
0,1,,2021-12-27,0.022974783554673195,171.40240478515625,167.94003295898438,66.534423828125,0.2967718541622162,1185.9200439453125,15871.259765625,17.68000030517578,0.013979184441268444,0.00973478239029646,173.451416015625,176.71299743652344,173.4318389892578,176.62484741210938,74919600.0
0,2,,2021-12-28,-0.005767287220805883,173.2711944580078,168.87295532226562,59.99505615234375,0.44336003065109253,1185.6500244140625,15781.7197265625,17.540000915527344,0.006950489245355129,0.01465354673564434,176.4583282470703,177.6042938232422,174.86181640625,175.606201171875,79144304.0
0,3,,2021-12-29,0.0005019755917601287,174.52293395996094,169.56248474121094,55.848731994628906,-0.13940487802028656,1187.8499755859375,15766.2197265625,16.950000762939453,0.005903156939893961,0.01511311437934637,175.64537048339844,176.91867065429688,174.47982788085938,175.69435119628906,62348900.0
0,4,,2021-12-30,-0.006578078493475914,175.0244140625,170.22019958496094,54.86371612548828,-0.22878316044807434,1183.6700439453125,15741.5595703125,17.329999923706055,-0.003947796765714884,0.003874880727380514,175.78253173828125,176.8599395751953,174.43087768554688,174.5386199951172,59773000.0
0,5,,2021-12-31,-0.003535496536642313,175.27711486816406,170.89649963378906,47.16522216796875,-0.07995351403951645,1189.8900146484375,15644.9697265625,17.219999313354492,-0.0032038665376603603,0.003551658010110259,174.43084716796875,175.54742431640625,173.61788940429688,173.92153930664062,64062300.0
0,6,,2022-01-03,0.025004293769598007,175.606201171875,171.88429260253906,59.25048828125,1.3227293491363525,1187.780029296875,15832.7998046875,16.600000381469727,0.004963573068380356,0.01742231845855713,174.1762237548828,179.12245178222656,174.05868530273438,178.27032470703125,104487904.0
0,7,,2022-01-04,-0.012691553682088852,175.6865234375,172.58851623535156,57.7177734375,1.1430810689926147,1194.6800537109375,15622.7197265625,16.90999984741211,0.0029257480055093765,0.01966100186109543,178.8776092529297,179.1812286376953,175.43971252441406,176.00779724121094,99310400.0
0,8,,2022-01-05,-0.02659991942346096,174.81285095214844,172.77166748046875,43.67051315307617,0.9774749875068665,1196.5,15100.169921875,19.729999542236328,-0.004762392956763506,0.026700232177972794,175.91964721679688,176.4681396484375,171.0517578125,171.3260040283203,94537600.0
0,9,,2022-01-06,-0.016693323850631714,173.59832763671875,172.62083435058594,49.5734977722168,1.0595840215682983,1199.25,15080.8603515625,19.610000610351562,-0.01866159960627556,0.007160044275224209,169.151611328125,171.6981964111328,168.1134033203125,168.46600341796875,96904000.0
0,10,,2022-01-07,0.000988172017969191,172.54052734375,172.5037841796875,51.74393844604492,0.7058426141738892,1205.780029296875,14935.900390625,18.760000228881836,-0.014101690612733364,0.013975447043776512,169.33767700195312,170.56199645996094,167.51589965820312,168.63247680664062,86709104.0
0,11,,2022-01-10,0.00011645480117294937,170.61688232421875,172.14825439453125,54.33234786987305,1.4017608165740967,1196.8800048828125,14942.830078125,19.399999618530273,-0.0051962328143417835,0.009966309182345867,165.60601806640625,168.95574951171875,164.71470642089844,168.65211486816406,106765600.0
0,12,,2022-01-11,0.01678355224430561,169.71185302734375,172.1159210205078,53.75761032104492,0.33905816078186035,1198.0899658203125,15153.4501953125,18.40999984741211,0.0059627266600728035,0.009381241165101528,168.77940368652344,171.58062744140625,167.3102264404297,171.48269653320312,76138304.0
0,13,0.005110657773911953,2022-01-12,0.0025703199207782745,169.8313446044922,172.17469787597656,49.78523635864258,0.2928024232387543,1189.4300537109375,15188.3896484375,17.6200008392334,0.006490109022706747,0.00899842195212841,172.5013427734375,173.53955078125,171.22805786132812,171.9234619140625,74805200.0
1,0,,2021-12-27,0.022974783554673195,171.40240478515625,167.94003295898438,66.534423828125,0.2967718541622162,1185.9200439453125,15871.259765625,17.68000030517578,0.013979184441268444,0.00973478239029646,173.451416015625,176.71299743652344,173.4318389892578,176.62484741210938,74919600.0
1,1,,2021-12-28,-0.005767287220805883,173.2711944580078,168.87295532226562,59.99505615234375,0.44336003065109253,1185.6500244140625,15781.7197265625,17.540000915527344,0.006950489245355129,0.01465354673564434,176.4583282470703,177.6042938232422,174.86181640625,175.606201171875,79144304.0
1,2,,2021-12-29,0.0005019755917601287,174.52293395996094,169.56248474121094,55.848731994628906,-0.13940487802028656,1187.8499755859375,15766.2197265625,16.950000762939453,0.005903156939893961,0.01511311437934637,175.64537048339844,176.91867065429688,174.47982788085938,175.69435119628906,62348900.0
1,3,,2021-12-30,-0.006578078493475914,175.0244140625,170.22019958496094,54.86371612548828,-0.22878316044807434,1183.6700439453125,15741.5595703125,17.329999923706055,-0.003947796765714884,0.003874880727380514,175.78253173828125,176.8599395751953,174.43087768554688,174.5386199951172,59773000.0
1,4,,2021-12-31,-0.003535496536642313,175.27711486816406,170.89649963378906,47.16522216796875,-0.07995351403951645,1189.8900146484375,15644.9697265625,17.219999313354492,-0.0032038665376603603,0.003551658010110259,174.43084716796875,175.54742431640625,173.61788940429688,173.92153930664062,64062300.0
1,5,,2022-01-03,0.025004293769598007,175.606201171875,171.88429260253906,59.25048828125,1.3227293491363525,1187.780029296875,15832.7998046875,16.600000381469727,0.004963573068380356,0.01742231845855713,174.1762237548828,179.12245178222656,174.05868530273438,178.27032470703125,104487904.0
1,6,,2022-01-04,-0.012691553682088852,175.6865234375,172.58851623535156,57.7177734375,1.1430810689926147,1194.6800537109375,15622.7197265625,16.90999984741211,0.0029257480055093765,0.01966100186109543,178.8776092529297,179.1812286376953,175.43971252441406,176.00779724121094,99310400.0
1,7,,2022-01-05,-0.02659991942346096,174.81285095214844,172.77166748046875,43.67051315307617,0.9774749875068665,1196.5,15100.169921875,19.729999542236328,-0.004762392956763506,0.026700232177972794,175.91964721679688,176.4681396484375,171.0517578125,171.3260040283203,94537600.0
1,8,,2022-01-06,-0.016693323850631714,173.59832763671875,172.62083435058594,49.5734977722168,1.0595840215682983,1199.25,15080.8603515625,19.610000610351562,-0.01866159960627556,0.007160044275224209,169.151611328125,171.6981964111328,168.1134033203125,168.46600341796875,96904000.0
1,9,,2022-01-07,0.000988172017969191,172.54052734375,172.5037841796875,51.74393844604492,0.7058426141738892,1205.780029296875,14935.900390625,18.760000228881836,-0.014101690612733364,0.013975447043776512,169.33767700195312,170.56199645996094,167.51589965820312,168.63247680664062,86709104.0
1,10,,2022-01-10,0.00011645480117294937,170.61688232421875,172.14825439453125,54.33234786987305,1.4017608165740967,1196.8800048828125,14942.830078125,19.399999618530273,-0.0051962328143417835,0.009966309182345867,165.60601806640625,168.95574951171875,164.71470642089844,168.65211486816406,106765600.0
1,11,,2022-01-11,0.01678355224430561,169.71185302734375,172.1159210205078,53.75761032104492,0.33905816078186035,1198.0899658203125,15153.4501953125,18.40999984741211,0.0059627266600728035,0.009381241165101528,168.77940368652344,171.58062744140625,167.3102264404297,171.48269653320312,76138304.0
