Date,Close,High,Low,Open,Volume,returns,sma_5,sma_20,rsi,volume_z,USD_KRW,NASDAQ,VIX,sentiment_mean,sentiment_vol
2021-12-23,172.65806579589844,173.2163614776015,171.66882311821325,172.23690795484498,68356600,0.003643971972912441,169.60216064453124,166.7881866455078,66.1088948188667,0.06904962191450062,1187.77001953125,15653.3701171875,17.959999084472656,0.012683132786523258,0.008051642861420176
2021-12-27,176.62484741210938,176.71299463822913,173.43183445537653,173.4514127643316,74919600,0.022974783123657305,171.40239868164062,167.94002532958984,66.53442460802144,0.296771854247346,1185.9200439453125,15871.259765625,17.68000030517578,0.013979184794464658,0.00973478249256474
2021-12-28,175.606201171875,177.6042945644057,174.86182193569553,176.45833582983963,79144300,-0.0057672873050393925,173.27118835449218,168.87295455932616,59.99505598308256,0.44336001742524817,1185.6500244140625,15781.7197265625,17.540000915527344,0.006950489263843451,0.014653547201222614
2021-12-29,175.69435119628906,176.91866791508298,174.4798236309474,175.6453755384828,62348900,0.0005019755784581026,174.52293090820314,169.56248931884767,55.84873263048876,-0.13940487377131916,1187.8499755859375,15766.2197265625,16.950000762939453,0.005903157132358672,0.01511311433046434
2021-12-30,174.5386199951172,176.85993507638065,174.4308795065752,175.7825301909609,59773000,-0.006578078312151736,175.0244171142578,170.22019424438477,54.86371791739167,-0.22878316087571904,1183.6700439453125,15741.5595703125,17.329999923706055,-0.003947796679577675,0.003874880691788009
2021-12-31,173.92153930664062,175.54742051646397,173.61789621276182,174.43084429030958,64062300,-0.0035354965479492684,175.27711181640626,170.8965057373047,47.16522054294057,-0.07995351419809087,1189.8900146484375,15644.9697265625,17.219999313354492,-0.0032038664272143005,0.003551658017914766
2022-01-03,178.27032470703125,179.12245940789794,174.05868664745196,174.17621628400974,104487900,0.025004294567122498,175.60620727539063,171.884285736084,59.2504882532999,1.322729386212495,1187.780029296875,15832.7998046875,16.600000381469727,0.004963573235673831,0.01742231929341068
2022-01-04,176.00779724121094,179.1812320747434,175.43971239750775,178.8776038701533,99310400,-0.012691554074064415,175.6865264892578,172.58851013183593,57.71777401594675,1.1430810763079837,1194.6800537109375,15622.7197265625,16.90999984741211,0.0029257479817029384,0.01966100231038052
2022-01-05,171.3260040283203,176.46813489136744,171.05175824457976,175.9196433238863,94537600,-0.026599919357404578,174.81285705566407,172.77166900634765,43.67051438374805,0.977475001269403,1196.5,15100.169921875,19.729999542236328,-0.004762392954782165,0.026700232596996994
2022-01-06,168.46600341796875,171.69820298422886,168.11339955718992,169.15161788468467,96904000,-0.016693324674045384,173.59833374023438,172.62083435058594,49.573499158757734,1.0595840810488402,1199.25,15080.8603515625,19.610000610351562,-0.018661599368504794,0.007160044355193719
2022-01-07,168.63247680664062,170.56200104833394,167.51590061636946,169.33768439473522,86709100,0.0009881720067808075,172.54052124023437,172.50378875732423,51.74393831988731,0.705842592947343,1205.780029296875,14935.900390625,18.760000228881836,-0.014101690674889719,0.013975447090123588
2022-01-10,168.65211486816406,168.95574308768624,164.71470727935647,165.6060136268591,106765600,0.00011645480096911243,170.61687927246095,172.14824829101562,54.33234904084389,1.4017607634156828,1196.8800048828125,14942.830078125,19.399999618530273,-0.0051962326220984885,0.009966309094139699
2022-01-11,171.48269653320312,171.58063290230876,167.3102305884416,168.77941063247667,76138300,0.016783552742589247,169.71185913085938,172.11592559814454,53.75761195510417,0.339058169125304,1198.0899658203125,15153.4501953125,18.40999984741211,0.005962726516779722,0.009381241009514782
2022-01-12,171.9234619140625,173.53955411934612,171.22805833783443,172.50133585944042,74805200,0.0025703198618294287,169.83135070800782,172.1746940612793,49.78523817341315,0.29280241597538537,1189.4300537109375,15188.3896484375,17.6200008392334,0.006490109135129263,0.00899842205107075
