Date,Last_Close,Next_Close,Tech_Pred,Tech_Conf,Tech_Unc,Macro_Pred,Macro_Conf,Macro_Unc,Senti_Pred,Senti_Conf,Senti_Unc
2025-07-25,213.43064880371094,213.6002960205078,214.0520913912373,0.9938873281767759,0.0061692181043326855,214.69294590993985,0.968181321897634,0.03341037780046463,213.5481400076762,0.9695148102500591,0.03194333612918854
2025-07-28,213.6002960205078,210.8261260986328,214.20251703108448,0.9949074987268727,0.005131689831614494,214.8358896943134,0.9684440365071634,0.03312086686491966,213.72347056823492,0.9697933357380817,0.03163768723607063
2025-07-29,210.8261260986328,208.6107940673828,211.41346288304737,0.9946070564747689,0.005436911713331938,211.96600630798213,0.9684432383847509,0.0331217460334301,210.94696141355388,0.9771541511484569,0.023655438795685768
2025-07-30,208.6107940673828,207.1339111328125,209.17724441139887,0.9946686844462451,0.005374280735850334,209.91976007419066,0.9685619844005197,0.032990965992212296,208.7229153846086,0.9788413932392975,0.02185128815472126
2025-07-31,207.1339111328125,201.95481872558594,207.6796259094745,0.9954279745789143,0.004603588953614235,208.51293529907213,0.9687683846662201,0.0327637642621994,207.21924691065186,0.9731115130041995,0.028016744181513786
2025-08-01,201.95481872558594,202.9227752685547,202.48234778556846,0.9954880994610651,0.004542636685073376,203.43105470827254,0.9688301726333215,0.03269577771425247,202.0486800201435,0.9738415282417683,0.027225129306316376
2025-08-04,202.9227752685547,202.49366760253906,203.4407623967173,0.9942838894663447,0.005765529349446297,204.57865340908836,0.9687966228238203,0.03273269161581993,203.01995043492633,0.9818639326666665,0.01864270493388176
2025-08-05,202.49366760253906,212.80197143554688,202.9992215611415,0.994459547222041,0.005586869083344936,204.5592415094166,0.9686199730958635,0.03292711824178696,202.5812423611086,0.9790696845223057,0.02160790003836155
2025-08-06,212.80197143554688,219.56771850585938,213.3178778809225,0.9952627243510219,0.0047711702063679695,214.87103970136317,0.9681227708897628,0.03347493335604668,212.91515072114063,0.9738472650586251,0.02721891552209854
2025-08-07,219.56771850585938,228.86814880371094,220.10244356072093,0.9953801641293133,0.004652065224945545,221.80460761505017,0.9684211217181989,0.03314610943198204,219.69500014235413,0.9794069226588519,0.021248674020171165
