Date,Close,High,Low,Open,Volume,returns,sma_5,sma_20,rsi,volume_z,USD_KRW,NASDAQ,VIX,sentiment_mean,sentiment_vol
2019-12-23,27.947999954223633,28.134000778198242,27.333332061767578,27.45199966430664,199794000,0.0336053629419828,26.679866790771484,23.79493341445923,90.58452576047611,1.008296087075445,1159.300048828125,8945.650390625,12.609999656677246,0.02171366839215949,0.01576141874944075
2019-12-24,28.350000381469727,28.364667892456055,27.512666702270508,27.890666961669922,120820500,0.014383871042812801,27.2966667175293,24.091300106048585,93.85568092135678,-0.016129763610433546,1161.5699462890625,8952.8798828125,12.670000076293945,0.017275152497088813,0.015093708855633148
2019-12-26,28.729333877563477,28.898666381835938,28.42333221435547,28.527332305908203,159508500,0.013380370052541224,27.80053367614746,24.43136682510376,96.4868636111326,0.4857219627450562,1159.75,9022.3896484375,12.649999618530273,0.020456534679112275,0.011398268161182029
2019-12-27,28.691999435424805,29.020666122436523,28.407333374023438,29.0,149185500,-0.0012995234173469594,28.1517333984375,24.761666774749756,95.77543377070198,0.3518144107607789,1161.199951171875,9006.6201171875,13.430000305175781,0.008821572559335689,0.008779475575812318
2019-12-30,27.64666748046875,28.600000381469727,27.284000396728516,28.586000442504883,188796000,-0.03643287242176041,28.273200225830077,25.044200134277343,82.61159637935499,0.8656325922848723,1160.6800537109375,8945.990234375,14.819999694824219,-0.008117341928855382,0.0255969093523572
2019-12-31,27.8886661529541,28.086000442504883,26.80533218383789,27.0,154285500,0.008753267375039453,28.261333465576172,25.322400093078613,81.71019225681451,0.41797042307501064,1156.3499755859375,8972.599609375,13.779999732971191,-0.009659709488022639,0.02372480433609989
2020-01-02,28.68400001525879,28.713333129882812,28.11400032043457,28.299999237060547,142981500,0.0285181750157113,28.328133392333985,25.63593339920044,82.96486027824483,0.271337567545584,1153.969970703125,9092.1904296875,12.470000267028809,0.00027952332299678123,0.03329433727378908
2020-01-03,29.534000396728516,30.266666412353516,29.128000259399414,29.366666793823242,266677500,0.02963325829792085,28.489066696166994,26.002533435821533,83.76133222760997,1.875893273275233,1157.1500244140625,9020.76953125,14.020000457763672,0.022301566896223868,0.01174641083984209
2020-01-06,30.1026668548584,30.104000091552734,29.333332061767578,29.364667892456055,151995000,0.01925463704513497,28.77120018005371,26.406433391571046,85.64855611590409,0.3882585904856483,1165.8499755859375,9071.4697265625,13.850000381469727,0.025802023452922374,0.005697548092050201
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.760000228881836,268231500,0.03880052465815398,29.495999908447267,26.850333309173585,85.00707044153997,1.8960513993803931,1167.4200439453125,9068.580078125,13.789999961853027,0.0292294733337366,0.009779197940944243
