sample_id,time_step,target,Open,High,Low,Close,Volume,returns,sma_5,sma_20,rsi,volume_z,USD_KRW,NASDAQ,VIX,priceEarningsRatio,forwardPE,priceToBook
460,2,0.4752553,0.58559996,0.54681647,0.5833334,0.48860958,0.35868007,0.25649318,0.5481903,0.31208578,0.9023235,0.35868007,0.5176954,0.9254962,0.11119349,0.48860958,0.48860958,0.48860958
460,3,0.4752553,0.45520002,0.46966293,0.52434456,0.4697565,0.35702738,0.2756596,0.56438553,0.332115,0.8623838,0.35702738,0.4825433,0.91786844,0.0953793,0.4697565,0.4697565,0.4697565
460,4,0.4752553,0.4676,0.44172284,0.51404494,0.45247447,0.22107919,0.27780613,0.5662687,0.35092592,0.8133944,0.22107919,0.48755106,0.9398588,0.094885096,0.45247447,0.45247447,0.45247447
460,5,0.4752553,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
460,6,0.4752553,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
461,0,0.44697568,0.47759998,0.5370786,0.5636704,0.5176748,0.36898118,0.49482965,0.51561147,0.29298246,0.9581557,0.36898118,0.5591432,0.92704934,0.094638,0.5176748,0.5176748,0.5176748
461,1,0.44697568,0.58559996,0.54681647,0.5833334,0.48860958,0.35868007,0.25649318,0.5481903,0.31208578,0.9023235,0.35868007,0.5176954,0.9254962,0.11119349,0.48860958,0.48860958,0.48860958
461,2,0.44697568,0.45520002,0.46966293,0.52434456,0.4697565,0.35702738,0.2756596,0.56438553,0.332115,0.8623838,0.35702738,0.4825433,0.91786844,0.0953793,0.4697565,0.4697565,0.4697565
461,3,0.44697568,0.4676,0.44172284,0.51404494,0.45247447,0.22107919,0.27780613,0.5662687,0.35092592,0.8133944,0.22107919,0.48755106,0.9398588,0.094885096,0.45247447,0.45247447,0.45247447
461,4,0.44697568,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
461,5,0.44697568,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
461,6,0.44697568,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
462,0,0.43519247,0.58559996,0.54681647,0.5833334,0.48860958,0.35868007,0.25649318,0.5481903,0.31208578,0.9023235,0.35868007,0.5176954,0.9254962,0.11119349,0.48860958,0.48860958,0.48860958
462,1,0.43519247,0.45520002,0.46966293,0.52434456,0.4697565,0.35702738,0.2756596,0.56438553,0.332115,0.8623838,0.35702738,0.4825433,0.91786844,0.0953793,0.4697565,0.4697565,0.4697565
462,2,0.43519247,0.4676,0.44172284,0.51404494,0.45247447,0.22107919,0.27780613,0.5662687,0.35092592,0.8133944,0.22107919,0.48755106,0.9398588,0.094885096,0.45247447,0.45247447,0.45247447
462,3,0.43519247,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
462,4,0.43519247,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
462,5,0.43519247,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
462,6,0.43519247,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
463,0,0.37863314,0.45520002,0.46966293,0.52434456,0.4697565,0.35702738,0.2756596,0.56438553,0.332115,0.8623838,0.35702738,0.4825433,0.91786844,0.0953793,0.4697565,0.4697565,0.4697565
463,1,0.37863314,0.4676,0.44172284,0.51404494,0.45247447,0.22107919,0.27780613,0.5662687,0.35092592,0.8133944,0.22107919,0.48755106,0.9398588,0.094885096,0.45247447,0.45247447,0.45247447
463,2,0.37863314,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
463,3,0.37863314,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
463,4,0.37863314,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
463,5,0.37863314,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
463,6,0.37863314,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
464,0,0.32285938,0.4676,0.44172284,0.51404494,0.45247447,0.22107919,0.27780613,0.5662687,0.35092592,0.8133944,0.22107919,0.48755106,0.9398588,0.094885096,0.45247447,0.45247447,0.45247447
464,1,0.32285938,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
464,2,0.32285938,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
464,3,0.32285938,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
464,4,0.32285938,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
464,5,0.32285938,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
464,6,0.32285938,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
465,0,0.3024352,0.4568,0.44037452,0.51779026,0.4344069,0.26042417,0.27474523,0.56438553,0.3687622,0.7734664,0.26042417,0.52599454,0.9567419,0.088707685,0.4344069,0.4344069,0.4344069
465,1,0.3024352,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
465,2,0.3024352,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
465,3,0.3024352,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
465,4,0.3024352,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
465,5,0.3024352,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
465,6,0.3024352,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
466,0,0.30871958,0.4512,0.42172286,0.41292134,0.41241166,0.23868266,0.26387826,0.5391511,0.38494152,0.74420017,0.23868266,0.5712105,0.9732827,0.10476898,0.41241166,0.41241166,0.41241166
466,1,0.30871958,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
466,2,0.30871958,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
466,3,0.30871958,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
466,4,0.30871958,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
466,5,0.30871958,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
466,6,0.30871958,0.3432,0.32247192,0.33988762,0.3024352,0.33976972,0.25437152,0.4500772,0.46544835,0.39185235,0.33976972,0.5859962,0.9597381,0.10921672,0.3024352,0.3024352,0.3024352
467,0,0.40416342,0.4336,0.47116107,0.5131086,0.4752553,0.2160331,0.47397485,0.5359497,0.40467837,0.7601925,0.2160331,0.5385864,0.9506497,0.11811217,0.4752553,0.4752553,0.4752553
467,1,0.40416342,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
467,2,0.40416342,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
467,3,0.40416342,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
467,4,0.40416342,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
467,5,0.40416342,0.3432,0.32247192,0.33988762,0.3024352,0.33976972,0.25437152,0.4500772,0.46544835,0.39185235,0.33976972,0.5859962,0.9597381,0.10921672,0.3024352,0.3024352,0.3024352
467,6,0.40416342,0.39360002,0.38052434,0.36235955,0.30871958,1.0,0.3367902,0.41693345,0.4701267,0.34013644,1.0,0.6042165,0.96973085,0.109463826,0.30871958,0.30871958,0.30871958
468,0,0.44461903,0.4784,0.4494382,0.52434456,0.44697568,0.15293005,0.25371784,0.5304885,0.42295322,0.706324,0.15293005,0.5503195,0.94270897,0.10674575,0.44697568,0.44697568,0.44697568
468,1,0.44461903,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
468,2,0.44461903,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
468,3,0.44461903,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
468,4,0.44461903,0.3432,0.32247192,0.33988762,0.3024352,0.33976972,0.25437152,0.4500772,0.46544835,0.39185235,0.33976972,0.5859962,0.9597381,0.10921672,0.3024352,0.3024352,0.3024352
468,5,0.44461903,0.39360002,0.38052434,0.36235955,0.30871958,1.0,0.3367902,0.41693345,0.4701267,0.34013644,1.0,0.6042165,0.96973085,0.109463826,0.30871958,0.30871958,0.30871958
468,6,0.44461903,0.3416,0.39925092,0.40262172,0.40416342,0.54061157,0.6179345,0.40949494,0.47965398,0.46326476,0.54061157,0.59787256,0.9790662,0.11786506,0.40416342,0.40416342,0.40416342
469,0,0.42615867,0.4296,0.4224719,0.49250937,0.43519247,0.13090955,0.2890344,0.52634555,0.44030213,0.6948577,0.13090955,0.6066013,0.93082476,0.12058315,0.43519247,0.43519247,0.43519247
469,1,0.42615867,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
469,2,0.42615867,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
469,3,0.42615867,0.3432,0.32247192,0.33988762,0.3024352,0.33976972,0.25437152,0.4500772,0.46544835,0.39185235,0.33976972,0.5859962,0.9597381,0.10921672,0.3024352,0.3024352,0.3024352
469,4,0.42615867,0.39360002,0.38052434,0.36235955,0.30871958,1.0,0.3367902,0.41693345,0.4701267,0.34013644,1.0,0.6042165,0.96973085,0.109463826,0.30871958,0.30871958,0.30871958
469,5,0.42615867,0.3416,0.39925092,0.40262172,0.40416342,0.54061157,0.6179345,0.40949494,0.47965398,0.46326476,0.54061157,0.59787256,0.9790662,0.11786506,0.40416342,0.40416342,0.40416342
469,6,0.42615867,0.4528,0.48164794,0.52996254,0.44461903,0.58588624,0.4196166,0.42531356,0.4919347,0.4244223,0.58588624,0.6160451,0.9723931,0.11835927,0.44461903,0.44461903,0.44461903
470,0,0.4029851,0.44,0.4104869,0.45599252,0.37863314,0.21090323,0.1811816,0.51297504,0.4517544,0.60188323,0.21090323,0.63173735,0.9412608,0.08475414,0.37863314,0.37863314,0.37863314
470,1,0.4029851,0.4136,0.38651684,0.3689139,0.32285938,0.40245166,0.16689982,0.4915069,0.45906433,0.46958673,0.40245166,0.63073534,0.9525064,0.10526318,0.32285938,0.32285938,0.32285938
470,2,0.4029851,0.3432,0.32247192,0.33988762,0.3024352,0.33976972,0.25437152,0.4500772,0.46544835,0.39185235,0.33976972,0.5859962,0.9597381,0.10921672,0.3024352,0.3024352,0.3024352
470,3,0.4029851,0.39360002,0.38052434,0.36235955,0.30871958,1.0,0.3367902,0.41693345,0.4701267,0.34013644,1.0,0.6042165,0.96973085,0.109463826,0.30871958,0.30871958,0.30871958
470,4,0.4029851,0.3416,0.39925092,0.40262172,0.40416342,0.54061157,0.6179345,0.40949494,0.47965398,0.46326476,0.54061157,0.59787256,0.9790662,0.11786506,0.40416342,0.40416342,0.40416342
470,5,0.4029851,0.4528,0.48164794,0.52996254,0.44461903,0.58588624,0.4196166,0.42531356,0.4919347,0.4244223,0.58588624,0.6160451,0.9723931,0.11835927,0.44461903,0.44461903,0.44461903
