Date,return_1d,hl_range,Volume,news_count_1d,news_count_7d,sentiment_mean_1d,sentiment_mean_7d,sentiment_vol_7d,Close
2023-11-30,0.0,0.0064934783449132226,2700,0.0,0.0,0.0,0.0,0.0,10.779999732971191
2023-12-01,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.779999732971191
2023-12-04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.779999732971191
2023-12-05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.779999732971191
2023-12-06,-0.0027829066525332236,0.0,100000,0.0,0.0,0.0,0.0,0.0,10.75
2023-12-07,0.004651180533475685,0.0037037001061669085,36900,0.0,0.0,0.0,0.0,0.0,10.800000190734863
2023-12-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.800000190734863
2023-12-11,-0.0009259471023357335,0.0,600,0.0,0.0,0.0,0.0,0.0,10.789999961853027
2023-12-12,0.0,0.0,4500,0.0,0.0,0.0,0.0,0.0,10.789999961853027
2023-12-13,-0.0018535221649732536,0.002785490408179674,16600,0.0,0.0,0.0,0.0,0.0,10.770000457763672
2023-12-14,-0.0027855789573232315,0.0037243913133587396,2100,0.0,0.0,0.0,0.0,0.0,10.739999771118164
2023-12-15,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,10.739999771118164
2023-12-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.739999771118164
2023-12-19,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.739999771118164
2023-12-20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.739999771118164
2023-12-21,-0.0018621512584328093,0.0018656253349981118,9300,0.0,0.0,0.0,0.0,0.0,10.720000267028809
2023-12-22,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.720000267028809
2023-12-26,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.720000267028809
2023-12-27,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.720000267028809
2023-12-28,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.720000267028809
2023-12-29,0.004664196780726604,0.0,700,0.0,0.0,0.0,0.0,0.0,10.770000457763672
2024-01-02,0.004642454497251647,0.003696854249650437,34800,0.0,0.0,0.0,0.0,0.0,10.819999694824219
2024-01-03,0.0009242355974019567,0.0009233821747261687,13100,0.0,0.0,0.0,0.0,0.0,10.829999923706055
2024-01-04,0.0009233821747260951,0.0,12000,0.0,0.0,0.0,0.0,0.0,10.84000015258789
2024-01-05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.84000015258789
2024-01-08,0.0009225303266668927,0.007373264598467969,188200,0.0,0.0,0.0,0.0,0.0,10.850000381469727
2024-01-09,0.0009215921526231075,0.006445732109714701,800,0.0,0.0,0.0,0.0,0.0,10.859999656677246
2024-01-10,0.003683237856129562,0.0,400,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-16,-0.0018348169531452463,0.0018381896947602346,51500,0.0,0.0,0.0,0.0,0.0,10.880000114440918
2024-01-17,0.0009191386743243601,0.0,10000,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-01-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-01-19,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-01-22,0.000918207060815357,0.0018349044462048047,22800,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-23,0.00018356043906808672,0.0011007231198917804,400,0.0,0.0,0.0,0.0,0.0,10.902000427246094
2024-01-24,-0.00018352675081723113,0.0,100,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-26,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-01-29,-0.0009173647300427801,0.0,1100,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-01-30,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-01-31,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-02-01,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.890000343322754
2024-02-02,0.0027547963292384736,0.0018315437384556939,100400,0.0,0.0,0.0,0.0,0.0,10.920000076293945
2024-02-05,-0.000915771869227866,0.0,7800,0.0,0.0,0.0,0.0,0.0,10.90999984741211
2024-02-06,0.002749746415285914,0.0018281083049780842,28800,0.0,0.0,0.0,0.0,0.0,10.9399995803833
2024-02-07,0.010054900783433851,0.009049808121593905,10600,0.0,0.0,0.0,0.0,0.0,11.050000190734863
2024-02-08,-0.009954806194826582,0.005484499261251069,31400,0.0,0.0,0.0,0.0,0.0,10.9399995803833
2024-02-09,-0.003656303783114545,0.0,10700,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-02-12,0.0,0.004587173622452399,900,0.0,0.0,0.0,0.0,0.0,10.899999618530273
2024-02-13,0.009174347244904846,0.0,100,0.0,0.0,0.0,0.0,0.0,11.0
2024-02-14,-0.004545471884987551,0.0,300,0.0,0.0,0.0,0.0,0.0,10.949999809265137
2024-02-15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.949999809265137
2024-02-16,0.0027397016889267878,0.00637520015870253,500,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-02-20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-02-21,0.006375287014290576,0.001357497109849039,600,0.0,0.0,0.0,0.0,0.0,11.050000190734863
2024-02-22,-0.005429902134029607,0.005459546939607857,600,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-02-23,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-02-26,0.0,0.0,700,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-02-27,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-02-28,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-02-29,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.989999771118164
2024-03-01,-0.0009099389526937562,0.0,100,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-04,0.0,0.003643070782787724,300,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-06,0.0,0.0,500,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-07,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-08,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.979999542236328
2024-03-12,0.000910767695696979,0.0,500,0.0,0.0,0.0,0.0,0.0,10.989999771118164
