Date,ticker,weekofyear_sin,weekofyear_cos,log_ret_lag1,ret_3d,mom_10,ma_200,macd,bbp,adx_14,obv,vol_ma_20,vol_chg,vol_20d,Close
2023-11-30,RZLV,-0.46472317,0.885456,-0.0009323334,0.00092843774,0.05499935,10.41394,0.014786433,0.8521696,39.79663,2155600.0,8140.0,0.9285714,0.0027700965,10.779999732971191
2023-12-01,RZLV,-0.46472317,0.885456,0.0055813603,0.00465985,0.029999733,10.417365,0.016407795,0.81707346,38.531006,2155600.0,8140.0,-1.0,0.0027700965,10.779999732971191
2023-12-04,RZLV,-0.3546049,0.9350162,0.0,0.005596965,0.029999733,10.421065,0.017491108,0.7874189,37.35578,2155600.0,2440.0,-1.0,0.0027700965,10.779999732971191
2023-12-05,RZLV,-0.3546049,0.9350162,0.0,0.0,0.009999275,10.424815,0.01814053,0.76186305,36.264503,2155600.0,2435.0,-1.0,0.0027700965,10.779999732971191
2023-12-06,RZLV,-0.3546049,0.9350162,0.0,-0.0027829066,0.0,10.428415,0.016049465,0.47359705,35.87383,2055600.0,6830.0,-1.0,0.00261678,10.75
2023-12-07,RZLV,-0.3546049,0.9350162,-0.002786786,0.0018553301,0.07000065,10.432265,0.018216886,1.004896,33.948814,2092500.0,8280.0,-0.631,0.0025222509,10.800000190734863
2023-12-08,RZLV,-0.3546049,0.9350162,0.004640397,0.0018553301,0.029999733,10.436115,0.019707408,0.9351532,32.161304,2092500.0,8180.0,-1.0,0.0023992925,10.800000190734863
2023-12-11,RZLV,-0.23931566,0.97094184,0.0,0.0037209266,0.019999504,10.439915,0.01985287,0.79611856,30.744379,2091900.0,8210.0,-1.0,0.002412956,10.789999961853027
2023-12-12,RZLV,-0.23931566,0.97094184,-0.00092637603,-0.0009259471,0.06000042,10.443715,0.019740593,0.7681918,29.428663,2091900.0,8435.0,6.5,0.002412956,10.789999961853027
2023-12-13,RZLV,-0.23931566,0.97094184,0.0,-0.002777753,0.05000019,10.447065,0.01783226,0.55802256,28.926958,2075300.0,9265.0,2.6888888,0.0024557908,10.770000457763672
2023-12-14,RZLV,-0.23931566,0.97094184,-0.0018552421,-0.004633938,-0.03999996,10.450615,0.013740694,0.23662907,28.883726,2073200.0,8350.0,-0.87349397,0.0024816813,10.739999771118164
2023-12-15,RZLV,-0.23931566,0.97094184,-0.002789466,-0.004633938,-0.03999996,10.454115,0.010378462,0.24653275,28.84358,2073200.0,8345.0,-0.95238096,0.002424116,10.739999771118164
2023-12-18,RZLV,-0.12053668,0.99270886,0.0,-0.002785579,-0.03999996,10.45759,0.007625962,0.25590467,28.806303,2073200.0,8345.0,-1.0,0.002424116,10.739999771118164
2023-12-19,RZLV,-0.12053668,0.99270886,0.0,0.0,-0.03999996,10.46109,0.0053825392,0.27594042,28.771688,2073200.0,8320.0,-1.0,0.002382536,10.739999771118164
2023-12-20,RZLV,-0.12053668,0.99270886,0.0,0.0,-0.010000229,10.46459,0.0035635321,0.28400892,28.739548,2073200.0,8300.0,-1.0,0.0023478991,10.739999771118164
2023-12-21,RZLV,-0.12053668,0.99270886,0.0,-0.0018621513,-0.07999992,10.46799,0.00050237204,0.10420279,29.437384,2063900.0,8755.0,-1.0,0.0023479662,10.720000267028809
2023-12-22,RZLV,-0.12053668,0.99270886,-0.0018638872,-0.0018621513,-0.07999992,10.47139,-0.0019016977,0.14803524,30.085375,2063900.0,8750.0,-1.0,0.0021743164,10.720000267028809
2023-12-26,RZLV,6.4324905e-16,1.0,0.0,-0.0018621513,-0.069999695,10.47479,-0.0037635565,0.18411921,30.687082,2063900.0,8745.0,-1.0,0.0021743164,10.720000267028809
2023-12-27,RZLV,6.4324905e-16,1.0,0.0,0.0,-0.069999695,10.47819,-0.005179388,0.19441056,31.24581,2063900.0,8710.0,-1.0,0.0020138016,10.720000267028809
2023-12-28,RZLV,6.4324905e-16,1.0,0.0,0.0,-0.05000019,10.48159,-0.0062296335,0.19441056,31.764627,2063900.0,8640.0,-1.0,0.002002945,10.720000267028809
2023-12-29,RZLV,6.4324905e-16,1.0,0.0,0.0046641966,0.030000687,10.48524,-0.0029928633,0.62455255,29.718878,2064600.0,8540.0,-1.0,0.0018724138,10.770000457763672
2024-01-02,RZLV,0.12053668,0.99270886,0.0046533532,0.009328305,0.07999992,10.48914,0.0035657177,0.9867931,28.962229,2099400.0,10280.0,48.714287,0.0021460229,10.819999694824219
2024-01-03,RZLV,0.12053668,0.99270886,0.0046317116,0.010261162,0.09000015,10.49284,0.009461311,0.9903511,28.750887,2112500.0,10935.0,-0.62356323,0.002151719,10.829999923706055
2024-01-04,RZLV,0.12053668,0.99270886,0.0009238088,0.006499507,0.10000038,10.49659,0.014770283,0.98428726,28.55464,2124500.0,11535.0,-0.08396947,0.0021563442,10.84000015258789
2024-01-05,RZLV,0.12053668,0.99270886,0.0009229561,0.0018484712,0.10000038,10.5003395,0.018761413,0.9200561,28.372412,2124500.0,6535.0,-1.0,0.0020346688,10.84000015258789
2024-01-08,RZLV,0.23931566,0.97094184,0.0,0.0018467644,0.13000011,10.50414,0.0224723,0.93054295,29.779175,2312700.0,14100.0,-1.0,0.0017815437,10.850000381469727
2024-01-09,RZLV,0.23931566,0.97094184,0.00092210504,0.0018449727,0.13999939,10.50799,0.025921257,0.9326367,31.228603,2313500.0,14140.0,-0.9957492,0.001787124,10.859999656677246
2024-01-10,RZLV,0.23931566,0.97094184,0.0009211677,0.005535006,0.17999935,10.51204,0.031518914,1.026435,32.574505,2313900.0,14130.0,-0.5,0.0019161529,10.899999618530273
2024-01-11,RZLV,0.23931566,0.97094184,0.0036764713,0.0046082246,0.17999935,10.51619,0.035545353,0.95471627,33.82427,2313900.0,13905.0,-1.0,0.0019161529,10.899999618530273
2024-01-12,RZLV,0.23931566,0.97094184,0.0,0.0036832378,0.17999935,10.52034,0.038294893,0.8984247,34.98476,2313900.0,13075.0,-1.0,0.001839149,10.899999618530273
2024-01-16,RZLV,0.3546049,0.9350162,0.0,-0.001834817,0.10999966,10.52439,0.038417283,0.7929573,35.054264,2262400.0,15545.0,-1.0,0.0017574605,10.880000114440918
2024-01-17,RZLV,0.3546049,0.9350162,-0.0018365023,-0.0009173647,0.07000065,10.5284395,0.038873106,0.7954346,35.118805,2272400.0,16040.0,-0.80582523,0.0017515976,10.890000343322754
2024-01-18,RZLV,0.3546049,0.9350162,0.00091871654,-0.0009173647,0.06000042,10.53249,0.038787235,0.76683396,35.178734,2272400.0,16040.0,-1.0,0.0017515976,10.890000343322754
