Date,NVDA
2020-01-02,5.971410751342773
2020-01-03,5.8758320808410645
2020-01-06,5.900472164154053
2020-01-07,5.971909046173096
2020-01-08,5.983108043670654
2020-01-09,6.048819541931152
2020-01-10,6.081175804138184
2020-01-13,6.271833896636963
2020-01-14,6.15485143661499
2020-01-15,6.112287521362305
2020-01-16,6.195919036865234
2020-01-17,6.204631328582764
2020-01-21,6.171278953552246
2020-01-22,6.2252888679504395
2020-01-23,6.2937397956848145
2020-01-24,6.234499454498291
2020-01-27,5.9786295890808105
2020-01-28,6.17202615737915
2020-01-29,6.111542701721191
2020-01-30,6.118261337280273
2020-01-31,5.884792327880859
2020-02-03,5.981863975524902
2020-02-04,6.151117324829102
2020-02-05,6.241468906402588
2020-02-06,6.328334331512451
2020-02-07,6.262127876281738
2020-02-10,6.545380115509033
2020-02-11,6.667837142944336
2020-02-12,6.783576965332031
2020-02-13,6.739770412445068
2020-02-14,7.21293306350708
2020-02-18,7.381690979003906
2020-02-19,7.832949638366699
2020-02-20,7.683608531951904
2020-02-21,7.319464683532715
2020-02-24,6.801995754241943
2020-02-25,6.522480010986328
2020-02-26,6.661865234375
2020-02-27,6.291028022766113
2020-02-28,6.726118564605713
2020-03-02,6.884516716003418
2020-03-03,6.622015953063965
2020-03-04,7.085749626159668
2020-03-05,6.806313514709473
2020-03-06,6.625751495361328
2020-03-09,6.112707614898682
2020-03-10,6.502221584320068
2020-03-11,6.1383585929870605
2020-03-12,5.387221336364746
2020-03-13,5.998143672943115
2020-03-16,4.891360282897949
2020-03-17,5.411129474639893
2020-03-18,5.051252365112305
2020-03-19,5.3040385246276855
2020-03-20,5.124223709106445
2020-03-23,5.297065258026123
2020-03-24,6.2058515548706055
2020-03-25,6.117189884185791
2020-03-26,6.406587600708008
2020-03-27,6.294264793395996
2020-03-30,6.6145453453063965
2020-03-31,6.564984321594238
2020-04-01,6.053682804107666
2020-04-02,6.362504482269287
2020-04-03,6.074604034423828
2020-04-06,6.684527397155762
2020-04-07,6.451167583465576
2020-04-08,6.648416042327881
2020-04-09,6.548794746398926
2020-04-13,6.720640182495117
2020-04-14,7.071802139282227
2020-04-15,6.994347095489502
2020-04-16,7.339531898498535
2020-04-17,7.280257225036621
2020-04-20,7.149009704589844
2020-04-21,6.71217155456543
2020-04-22,7.126593589782715
2020-04-23,7.073296546936035
2020-04-24,7.21226692199707
2020-04-27,7.398806571960449
2020-04-28,7.256348133087158
2020-04-29,7.433176040649414
2020-04-30,7.279261112213135
2020-05-01,7.042663097381592
2020-05-04,7.254606246948242
2020-05-05,7.3156232833862305
2020-05-06,7.416488170623779
2020-05-07,7.592817783355713
2020-05-08,7.782843112945557
2020-05-11,8.034882545471191
2020-05-12,7.772879123687744
2020-05-13,7.750464916229248
2020-05-14,8.000014305114746
2020-05-15,8.458518981933594
2020-05-18,8.717031478881836
2020-05-19,8.772074699401855
2020-05-20,8.935949325561523
2020-05-21,8.741937637329102
2020-05-22,8.991984367370605
2020-05-26,8.68465518951416
2020-05-27,8.492887496948242
2020-05-28,8.454779624938965
2020-05-29,8.84180736541748
2020-06-01,8.772818565368652
2020-06-02,8.791749000549316
2020-06-03,8.736211776733398
2020-06-04,8.73720932006836
2020-06-05,8.890192985534668
2020-06-08,8.775579452514648
2020-06-09,9.015772819519043
2020-06-10,9.335450172424316
2020-06-11,8.766857147216797
2020-06-12,8.902652740478516
2020-06-15,9.143095970153809
2020-06-16,9.038198471069336
2020-06-17,9.20513916015625
2020-06-18,9.187196731567383
2020-06-19,9.230299949645996
2020-06-22,9.494915008544922
2020-06-23,9.418423652648926
2020-06-24,9.20464038848877
2020-06-25,9.45828914642334
2020-06-26,9.124409675598145
2020-06-29,9.169258117675781
2020-06-30,9.46601390838623
2020-07-01,9.498153686523438
2020-07-02,9.580132484436035
2020-07-06,9.806373596191406
2020-07-07,9.838765144348145
2020-07-08,10.181863784790039
2020-07-09,10.473883628845215
2020-07-10,10.444231986999512
2020-07-13,10.018660545349121
2020-07-14,10.342324256896973
2020-07-15,10.19307804107666
2020-07-16,10.100883483886719
2020-07-17,10.167411804199219
2020-07-20,10.475625038146973
2020-07-21,10.293986320495605
2020-07-22,10.403868675231934
2020-07-23,10.095902442932129
2020-07-24,10.16043472290039
2020-07-27,10.386676788330078
2020-07-28,10.181365966796875
2020-07-29,10.430530548095703
2020-07-30,10.578536033630371
2020-07-31,10.5792818069458
2020-08-03,10.973458290100098
2020-08-04,11.190231323242188
2020-08-05,11.249035835266113
2020-08-06,11.297621726989746
2020-08-07,11.162075996398926
2020-08-10,11.127690315246582
2020-08-11,10.813745498657227
2020-08-12,11.402021408081055
2020-08-13,11.404762268066406
2020-08-14,11.525358200073242
2020-08-17,12.295775413513184
2020-08-18,12.219780921936035
2020-08-19,12.097940444946289
2020-08-20,12.100430488586426
2020-08-21,12.641120910644531
2020-08-24,12.677745819091797
2020-08-25,12.707395553588867
2020-08-26,12.730317115783691
2020-08-27,12.586052894592285
2020-08-28,13.103816032409668
2020-08-31,13.329808235168457
2020-09-01,13.778940200805664
2020-09-02,14.302838325500488
2020-09-03,12.975889205932617
2020-09-04,12.584084510803223
2020-09-08,11.876745223999023
2020-09-09,12.67630386352539
2020-09-10,12.274280548095703
2020-09-11,12.127480506896973
2020-09-14,12.833074569702148
2020-09-15,12.95146369934082
2020-09-16,12.476411819458008
2020-09-17,12.425569534301758
2020-09-18,12.152154922485352
2020-09-21,12.479156494140625
2020-09-22,12.599287986755371
2020-09-23,12.086852073669434
2020-09-24,12.310420036315918
