sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
110,6,0.8193245,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
111,0,0.82482326,0.31776017,0.35069612,0.0063237026,0.78633153,0.0010151563,0.8032,0.75842696,0.9428839
111,1,0.82482326,0.33127588,0.3606996,0.020916713,0.79654366,0.0045952527,0.8024,0.764045,0.94475657
111,2,0.82482326,0.34224093,0.38126355,0.026076837,0.8146112,0.0004837108,0.8152,0.7812734,0.95411986
111,3,0.82482326,0.3253618,0.3864566,0.018213041,0.82089555,0.00015275078,0.8136,0.788015,0.9578652
111,4,0.82482326,0.31121475,0.37275183,0.033031985,0.8169678,0.0003839985,0.8224,0.77827716,0.9578652
111,5,0.82482326,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
111,6,0.82482326,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
112,0,0.82403773,0.33127588,0.3606996,0.020916713,0.79654366,0.0045952527,0.8024,0.764045,0.94475657
112,1,0.82403773,0.34224093,0.38126355,0.026076837,0.8146112,0.0004837108,0.8152,0.7812734,0.95411986
112,2,0.82403773,0.3253618,0.3864566,0.018213041,0.82089555,0.00015275078,0.8136,0.788015,0.9578652
112,3,0.82403773,0.31121475,0.37275183,0.033031985,0.8169678,0.0003839985,0.8224,0.77827716,0.9578652
112,4,0.82403773,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
112,5,0.82403773,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
112,6,0.82403773,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
113,0,0.83424985,0.34224093,0.38126355,0.026076837,0.8146112,0.0004837108,0.8152,0.7812734,0.95411986
113,1,0.83424985,0.3253618,0.3864566,0.018213041,0.82089555,0.00015275078,0.8136,0.788015,0.9578652
113,2,0.83424985,0.31121475,0.37275183,0.033031985,0.8169678,0.0003839985,0.8224,0.77827716,0.9578652
113,3,0.83424985,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
113,4,0.83424985,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
113,5,0.83424985,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
113,6,0.83424985,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
114,0,0.8383347,0.3253618,0.3864566,0.018213041,0.82089555,0.00015275078,0.8136,0.788015,0.9578652
114,1,0.8383347,0.31121475,0.37275183,0.033031985,0.8169678,0.0003839985,0.8224,0.77827716,0.9578652
114,2,0.8383347,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
114,3,0.8383347,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
114,4,0.8383347,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
114,5,0.8383347,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
114,6,0.8383347,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
115,0,0.8263943,0.31121475,0.37275183,0.033031985,0.8169678,0.0003839985,0.8224,0.77827716,0.9578652
115,1,0.8263943,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
115,2,0.8263943,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
115,3,0.8263943,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
115,4,0.8263943,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
115,5,0.8263943,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
115,6,0.8263943,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
116,0,0.828751,0.33633095,0.36871442,0.026776608,0.83118623,0.0008708916,0.84159994,0.79962546,0.9681648
116,1,0.828751,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
116,2,0.828751,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
116,3,0.828751,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
116,4,0.828751,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
116,5,0.828751,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
116,6,0.828751,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
117,0,0.85231733,0.30045345,0.35169828,0.03915224,0.8193245,0.00020472848,0.8536,0.7977528,0.97659177
117,1,0.85231733,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
117,2,0.85231733,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
117,3,0.85231733,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
