기준일,예측대상일,ticker,기준일종가,예측종가,실제종가,오차,오차율(%),방향일치
2024-12-31,2025-01-02,AAPL,249.53416442871094,247.83598378370687,242.9874267578125,4.848557025894365,1.9953942023209952,1
2025-01-02,2025-01-03,AAPL,242.98741149902344,241.35363483380235,242.49916076660156,-1.1455259327992167,-0.4723834627624762,1
2025-01-03,2025-01-06,AAPL,242.4991455078125,240.8900647089188,244.1333465576172,-3.2432818486983876,-1.3284878507709106,0
2025-01-06,2025-01-07,AAPL,244.1333465576172,242.55843220918877,241.3532257080078,1.2052065011809532,0.4993537988338417,1
2025-01-07,2025-01-08,AAPL,241.35321044921875,239.81668721881246,241.8414764404297,-2.024789221617226,-0.8372381989306832,0
2025-01-08,2025-01-10,AAPL,241.84146118164062,240.31368450805198,236.01219177246094,4.30149273559104,1.8225722592068905,1
2025-01-10,2025-01-13,AAPL,236.01219177246094,234.55552199453044,233.5708465576172,0.9846754369132498,0.42157463203369017,1
2025-01-13,2025-01-14,AAPL,233.5708465576172,232.15491843888404,232.45480346679688,-0.2998850279128362,-0.12900788602360325,1
2025-01-14,2025-01-15,AAPL,232.45480346679688,231.07256985147473,237.028564453125,-5.955994601650275,-2.512775038481971,0
2025-01-15,2025-01-16,AAPL,237.02854919433594,235.61858353177237,227.4525604248047,8.166023106967685,3.590209356938567,1
2025-01-16,2025-01-17,AAPL,227.4525604248047,226.13679266194947,229.1664581298828,-3.0296654679333415,-1.322037043578272,0
2025-01-17,2025-01-21,AAPL,229.16647338867188,227.83626833814887,221.85243225097656,5.983836087172307,2.6972145522402613,1
2025-01-21,2025-01-22,AAPL,221.85243225097656,220.58172960950435,223.03823852539062,-2.4565089158862747,-1.101384646923055,0
2025-01-22,2025-01-23,AAPL,223.03822326660156,221.7661845621393,222.8688507080078,-1.1026661458685112,-0.49476009876013227,1
2025-01-23,2025-01-24,AAPL,222.8688507080078,221.60727574023716,221.991943359375,-0.38466761913784353,-0.1732799908486402,1
2025-01-24,2025-01-27,AAPL,221.991943359375,220.74275939469248,229.04690551757812,-8.30414612288564,-3.625522075542008,0
2025-01-27,2025-01-28,AAPL,229.04689025878906,227.76265789278702,237.4171905517578,-9.654532658970794,-4.066484249322321,0
2025-01-28,2025-01-29,AAPL,237.41717529296875,236.02248271568146,238.51329040527344,-2.490807689591975,-1.0443056172507963,0
2025-01-29,2025-01-30,AAPL,238.51329040527344,237.07236935908685,236.74954223632812,0.32282712275872427,0.13635807685595092,1
2025-01-30,2025-01-31,AAPL,236.7495574951172,235.2966782133384,235.16519165039062,0.13148656294777084,0.055912425654918316,1
