Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,APP,ARM,ASML,AVGO,AXON,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DXCM,EA,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRVL,MSFT,MSTR,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,ROP,ROST,SBUX,SHOP,SNPS,TEAM,TMUS,TRI,TSLA,TTD,TTWO,TXN,VRSK,VRTX,WBD,WDAY,XEL,ZS
2021-05-19,121.88565826416016,138.19000244140625,480.4700012207031,141.41380310058594,174.0274658203125,273.9700012207031,73.39080047607422,119.97566223144531,76.2300033569336,217.03314208984375,161.58999633789062,64.61000061035156,,605.7632446289062,40.12470626831055,126.80000305175781,51.24089431762695,281.75,2237.738037109375,22.491958618164062,52.344539642333984,122.31999969482422,159.3805694580078,,679.6500244140625,48.10954284667969,361.2155456542969,30.247499465942383,198.7100067138672,46.24668884277344,82.90599822998047,30.86014175415039,82.34001159667969,66.19032287597656,140.1999969482422,83.66999816894531,83.07250213623047,135.50643920898438,27.96412467956543,64.19889831542969,22.446725845336914,41.52000045776367,,,57.55599594116211,114.65090942382812,112.79702758789062,202.80557250976562,528.1400146484375,50.660736083984375,410.1822509765625,272.32000732421875,31.99106788635254,35.44300842285156,290.14666748046875,278.524169921875,57.254146575927734,310.30999755859375,134.78414916992188,67.22855377197266,55.76844787597656,1322.31005859375,311.6686096191406,45.3650016784668,43.73783493041992,234.79916381835938,45.486000061035156,78.06781768798828,487.70001220703125,14.031928062438965,179.9830322265625,129.33384704589844,37.459999084472656,36.16466522216797,55.93000030517578,87.89279174804688,51.684024810791016,127.16999816894531,126.87122344970703,20.670000076293945,244.6300048828125,118.48057556152344,508.0918273925781,420.9546203613281,118.89390563964844,99.51360321044922,117.03900146484375,237.36000061035156,216.17999267578125,130.43939208984375,87.97898864746094,187.82000732421875,50.90999984741211,179.35000610351562,160.90708923339844,168.2555389404297,214.0500030517578,33.11000061035156,226.0,61.13311767578125,164.80999755859375
2021-05-20,124.44673919677734,136.1999969482422,491.6700134277344,147.2783203125,177.03671264648438,281.1600036621094,73.68123626708984,125.27265930175781,78.05999755859375,219.9137725830078,162.38400268554688,67.9000015258789,,623.0397338867188,41.33102035522461,130.30999755859375,52.241329193115234,286.57000732421875,2273.265869140625,22.634593963623047,53.709815979003906,125.25,159.40899658203125,,694.7100219726562,48.81912612915039,364.9450988769531,31.022499084472656,204.02999877929688,46.581607818603516,84.18800354003906,30.83504295349121,84.01570892333984,66.71430206298828,137.0,88.12000274658203,86.07499694824219,138.36526489257812,28.08694076538086,63.05366134643555,22.62394905090332,42.4640007019043,,,58.27019500732422,117.00379943847656,114.5573959350586,203.5477752685547,539.239990234375,51.200653076171875,423.88421630859375,277.5533447265625,32.52737045288086,35.687049865722656,299.13922119140625,280.4620666503906,59.58538055419922,319.1700134277344,134.34912109375,69.32599639892578,56.45728302001953,1374.989990234375,316.6578674316406,46.25,45.45747756958008,238.0441131591797,47.26599884033203,79.23986053466797,501.6700134277344,14.577363014221191,184.3501434326172,129.55418395996094,38.529998779296875,36.43466567993164,57.098331451416016,89.43038940429688,51.423526763916016,131.0,128.44154357910156,20.610000610351562,251.5399932861328,120.27598571777344,511.0193176269531,427.02569580078125,116.3666763305664,101.09246826171875,121.48999786376953,244.7100067138672,224.66000366210938,132.1967010498047,89.36174011230469,195.5933380126953,54.33000183105469,185.0800018310547,164.0770263671875,168.52774047851562,216.61000061035156,31.850000381469727,233.42999267578125,62.00806427001953,170.72999572753906
2021-05-21,122.6090316772461,134.7100067138672,488.07000732421875,147.1767120361328,178.07630920410156,281.67999267578125,74.01435852050781,123.68643188476562,77.16999816894531,219.11068725585938,160.1540069580078,68.3499984741211,,613.8683471679688,40.98948287963867,127.06999969482422,52.204952239990234,283.19000244140625,2260.775634765625,22.7683162689209,53.80609130859375,123.45999908447266,159.41848754882812,,692.52001953125,48.854610443115234,362.2239685058594,31.7549991607666,210.60000610351562,46.211421966552734,83.86900329589844,30.83817481994629,83.7680892944336,66.65818786621094,137.57000732421875,88.94999694824219,85.52249908447266,136.76507568359375,28.148351669311523,62.87240982055664,22.636917114257812,42.16600036621094,,,57.766048431396484,116.45804595947266,113.9207763671875,204.52828979492188,539.3400268554688,51.31962203979492,422.09234619140625,274.9966735839844,32.3932991027832,35.898563385009766,296.0653076171875,280.8759765625,58.38553237915039,313.20001220703125,134.3781280517578,68.71138000488281,56.680931091308594,1367.1199951171875,314.2925109863281,46.005001068115234,45.41816711425781,236.77899169921875,45.051998138427734,78.83941650390625,497.8900146484375,14.955702781677246,184.50706481933594,128.7414093017578,38.220001220703125,36.279998779296875,60.40833282470703,89.54594421386719,52.1143684387207,129.2899932861328,128.32814025878906,20.75,250.69000244140625,119.20601654052734,504.5570068359375,429.2901306152344,117.09822845458984,100.64783477783203,122.41200256347656,242.0,223.64999389648438,132.0898895263672,89.29588317871094,193.6266632080078,53.97200012207031,184.36000061035156,163.8202362060547,168.6833038330078,213.42999267578125,31.469999313354492,231.4199981689453,62.406558990478516,170.0800018310547
2021-05-24,124.24146270751953,135.91000366210938,497.8299865722656,150.08590698242188,179.68125915527344,287.4800109863281,73.94603729248047,129.37759399414062,77.44000244140625,216.2649688720703,162.24949645996094,70.30999755859375,,632.8160400390625,41.71162796020508,129.99000549316406,52.268619537353516,278.8599853515625,2315.09228515625,22.579774856567383,53.193458557128906,126.33000183105469,160.26467895507812,,703.1300048828125,49.36904525756836,364.8214416503906,32.03499984741211,214.35000610351562,47.057559967041016,84.43299865722656,31.17074966430664,85.23702239990234,66.52717590332031,140.4600067138672,89.76000213623047,88.84750366210938,138.6384735107422,28.265024185180664,63.68806457519531,22.84439468383789,42.61399841308594,,,56.65694046020508,119.515625,117.24335479736328,206.17770385742188,549.7100219726562,52.12491989135742,428.8898010253906,278.3066711425781,32.9474983215332,36.2158088684082,303.1390075683594,283.4158935546875,60.33837127685547,318.19000244140625,137.16217041015625,70.67900848388672,56.96720886230469,1367.3299560546875,322.6410217285156,46.6150016784668,46.79387664794922,242.1969757080078,47.244998931884766,80.9686279296875,502.8999938964844,15.574461936950684,188.69874572753906,129.59823608398438,39.34000015258789,35.79199981689453,60.753334045410156,90.55915832519531,52.00679397583008,130.41000366210938,128.98240661621094,21.219999313354492,257.1700134277344,120.52082824707031,498.3336486816406,433.799560546875,117.34527587890625,102.09967803955078,126.14299774169922,248.5800018310547,222.60000610351562,133.72097778320312,89.80382537841797,202.14666748046875,55.55699920654297,185.02000427246094,167.0787811279297,169.32493591308594,211.22000122070312,31.280000686645508,234.0,62.086021423339844,174.39999389648438
2021-05-25,124.04596710205078,133.99000549316406,505.0799865722656,151.20339965820312,178.00332641601562,289.4700012207031,73.39936828613281,132.18472290039062,77.86000061035156,211.24574279785156,162.95249938964844,69.94999694824219,,645.6268310546875,41.743431091308594,130.72999572753906,51.759300231933594,273.45001220703125,2305.756591796875,21.672990798950195,52.939659118652344,127.48999786376953,158.52471923828125,,695.510009765625,49.4045295715332,366.6576843261719,31.957500457763672,212.86000061035156,46.987060546875,84.98899841308594,31.079763412475586,85.46781921386719,66.4336166381836,136.27000427246094,89.58000183105469,88.3125,139.78001403808594,27.577274322509766,62.18857192993164,22.77523422241211,42.91400146484375,,,55.64866638183594,119.63481140136719,117.33423614501953,205.2979736328125,555.1900024414062,52.042564392089844,427.5069274902344,282.0033264160156,32.625694274902344,35.91482162475586,303.49224853515625,283.3971862792969,60.88315200805664,324.1099853515625,138.0321807861328,70.9771499633789,56.99403381347656,1365.4200439453125,325.78167724609375,46.51499938964844,47.19677734375,243.1048126220703,46.96699905395508,79.3375244140625,501.3399963378906,15.610121726989746,189.04957580566406,127.953125,38.939998626708984,35.6533317565918,60.8466682434082,89.84811401367188,51.27629089355469,130.82000732421875,129.37498474121094,21.479999542236328,258.6499938964844,121.28253936767578,495.9040832519531,435.1952819824219,117.68729400634766,102.19947052001953,124.0,255.8300018310547,225.72000122070312,132.77923583984375,90.96085357666016,201.56333923339844,56.12900161743164,184.6199951171875,167.08763122558594,168.86802673339844,208.75999450683594,30.65999984741211,236.57000732421875,61.713523864746094,172.74000549316406
2021-05-26,123.9970932006836,134.75,506.9800109863281,151.3511505126953,177.2555694580078,292.510009765625,73.24559783935547,131.8380126953125,78.33999633789062,208.2341766357422,163.25799560546875,68.62000274658203,,639.3654174804688,41.8297233581543,136.05999755859375,51.422786712646484,267.8399963378906,2313.63330078125,21.699926376342773,52.65959167480469,126.83000183105469,157.90672302246094,,693.5,50.42454528808594,366.8859558105469,31.977500915527344,219.9600067138672,46.634498596191406,85.04199981689453,31.512741088867188,85.15528869628906,66.4336166381836,141.86000061035156,91.43000030517578,88.67250061035156,140.49232482910156,27.736928939819336,64.5037612915039,22.870328903198242,43.141998291015625,,,55.74948501586914,120.84949493408203,118.20027160644531,205.5087890625,557.3300170898438,52.08831024169922,431.2269287109375,279.7933349609375,32.66145324707031,35.93922805786133,302.986328125,282.0049133300781,60.661624908447266,329.760009765625,139.65621948242188,71.33948516845703,56.92247009277344,1385.469970703125,325.6524658203125,46.70500183105469,47.77653121948242,242.8826904296875,48.27899932861328,80.32400512695312,502.3599853515625,15.662249565124512,190.32369995117188,128.60919189453125,39.0,35.41466522216797,61.29499816894531,89.40371704101562,51.412208557128906,123.56999969482422,129.37498474121094,22.1200008392334,261.3699951171875,120.6840591430664,495.03778076171875,433.78973388671875,119.843994140625,102.39911651611328,123.88300323486328,254.27999877929688,230.49000549316406,135.5850830078125,91.16780090332031,206.3766632080078,58.14699935913086,185.6699981689453,166.7865753173828,168.16806030273438,206.8000030517578,31.81999969482422,237.07000732421875,61.50563049316406,194.1999969482422
2021-05-27,122.46239471435547,143.1699981689453,498.2799987792969,151.36972045898438,179.86361694335938,286.6700134277344,73.07476806640625,132.72406005859375,78.41999816894531,205.40591430664062,161.5054931640625,69.68000030517578,,638.7125854492188,42.48284149169922,139.47999572753906,51.741111755371094,267.3699951171875,2301.5869140625,21.852554321289062,52.47581100463867,127.12999725341797,158.95257568359375,,692.4500122070312,50.85915756225586,368.6745910644531,32.122501373291016,222.80999755859375,46.643310546875,84.48300170898438,31.42150115966797,85.14325714111328,66.5458984375,152.82000732421875,92.30999755859375,90.47750091552734,139.45806884765625,27.38692283630371,65.36884307861328,22.801164627075195,43.268001556396484,,,55.37139129638672,119.30903625488281,117.3248062133789,211.92320251464844,554.0399780273438,52.82955551147461,420.8067932128906,278.1199951171875,32.75978469848633,35.651920318603516,302.1748352050781,282.9549865722656,61.38990020751953,328.1099853515625,140.9805908203125,71.43580627441406,56.636207580566406,1355.0,330.7112731933594,46.654998779296875,47.52104187011719,240.7772979736328,49.3849983215332,81.9746322631836,503.8599853515625,15.45075798034668,194.0906524658203,129.41708374023438,40.27000045776367,35.27333450317383,61.209999084472656,89.6614761352539,51.74064636230469,119.66000366210938,127.8133773803711,22.700000762939453,259.4700012207031,121.18280029296875,493.2255859375,436.7764587402344,119.38794708251953,102.99798583984375,124.08399963378906,254.6199951171875,231.88999938964844,137.19680786132812,91.58167266845703,210.28334045410156,58.45800018310547,186.47999572753906,167.4683837890625,167.34170532226562,207.30999755859375,32.52000045776367,229.35000610351562,60.87323760986328,194.25999450683594
2021-05-28,121.8074722290039,140.39999389648438,504.5799865722656,152.6588897705078,178.75112915039062,285.8599853515625,73.45915222167969,133.02255249023438,80.08000183105469,207.70167541503906,161.15350341796875,74.30999755859375,,648.6807861328125,42.905235290527344,140.58999633789062,51.63197326660156,267.4800109863281,2327.9765625,21.906423568725586,52.96591567993164,126.98999786376953,157.27920532226562,,694.530029296875,50.85915756225586,359.8930969238281,32.252498626708984,222.14999389648438,46.62569046020508,85.4000015258789,31.500154495239258,84.9966049194336,66.95760345458984,150.27999877929688,91.05000305175781,92.34750366210938,139.45806884765625,27.70622444152832,65.97029113769531,22.926525115966797,43.70800018310547,,,55.54783248901367,119.75846862792969,117.03529357910156,211.5933074951172,558.1099853515625,52.271331787109375,427.6043395996094,280.7266540527344,33.03688430786133,35.78325271606445,302.5090026855469,282.7856750488281,61.784461975097656,323.1300048828125,138.7958526611328,71.98621368408203,56.8330078125,1358.6700439453125,326.7159423828125,47.1349983215332,47.46208953857422,241.13462829589844,47.0,82.17973327636719,502.80999755859375,16.20543670654297,195.19859313964844,129.9704132080078,40.040000915527344,35.67466735839844,60.54166793823242,89.89256286621094,51.84823989868164,124.87999725341797,129.06092834472656,22.950000762939453,260.0199890136719,121.9988784790039,500.2852783203125,439.2361755371094,120.08152770996094,103.33370208740234,124.28700256347656,254.33999633789062,233.27999877929688,137.33273315429688,92.15545654296875,208.4066619873047,58.81399917602539,185.55999755859375,168.07937622070312,168.02223205566406,208.6300048828125,32.11000061035156,228.72000122070312,61.40166091918945,194.1999969482422
2021-06-01,121.4848861694336,144.30999755859375,495.9100036621094,151.81492614746094,179.3803253173828,281.29998779296875,72.69038391113281,133.09959411621094,80.80999755859375,203.89576721191406,160.9324951171875,68.86000061035156,,645.1564331054688,42.540069580078125,139.14999389648438,51.159034729003906,267.1499938964844,2295.1796875,22.911962509155273,53.08843994140625,125.75,155.80548095703125,,688.8900146484375,50.51325225830078,359.85498046875,31.450000762939453,222.07000732421875,46.37889099121094,85.43499755859375,31.556781768798828,84.86199188232422,66.61139678955078,149.27000427246094,91.87999725341797,91.4175033569336,140.2981414794922,27.718509674072266,71.35865783691406,22.71039581298828,42.99800109863281,,,54.88405227661133,120.66476440429688,118.24346160888672,213.46263122558594,550.5900268554688,52.06085968017578,427.1855163574219,278.67999267578125,32.97431182861328,35.9966926574707,301.401611328125,284.3473205566406,61.70745086669922,318.6199951171875,140.34254455566406,71.23857879638672,56.65409851074219,1368.8699951171875,327.1134338378906,46.79499816894531,46.92162322998047,238.9326934814453,47.7760009765625,82.18949890136719,499.0799865722656,16.225393295288086,191.9579315185547,131.2443389892578,39.90999984741211,35.84333419799805,60.05833435058594,89.75922393798828,52.35787582397461,139.33999633789062,128.79052734375,23.059999465942383,259.2699890136719,121.4548110961914,501.0819091796875,437.6842346191406,116.83221435546875,102.8437271118164,125.15599822998047,253.82000732421875,231.97999572753906,137.575439453125,92.230712890625,207.96665954589844,58.310001373291016,182.75999450683594,167.353271484375,166.4180908203125,209.6699981689453,32.0,226.41000366210938,60.63933563232422,191.77000427246094
2021-06-02,122.24734497070312,151.0,495.7699890136719,152.5661163330078,180.9578857421875,279.6700134277344,73.16018676757812,133.86997985839844,81.97000122070312,205.27493286132812,161.69949340820312,70.08999633789062,,647.3554077148438,43.032413482666016,141.58999633789062,51.02260971069336,269.3500061035156,2284.966552734375,23.585315704345703,53.53478240966797,124.52999877929688,156.84182739257812,,682.4500122070312,50.28263473510742,362.1003723144531,31.110000610351562,220.5800018310547,46.67855453491211,84.58599853515625,31.33025550842285,84.69366455078125,66.70494842529297,149.8300018310547,91.5999984741211,92.74749755859375,138.1295166015625,27.755352020263672,71.21858978271484,22.662853240966797,43.27399826049805,,,55.48060989379883,120.24116516113281,117.71759796142578,211.43756103515625,547.5599975585938,52.60078430175781,433.7882385253906,273.8466796875,33.117313385009766,36.19369888305664,301.2679443359375,283.1012268066406,61.70269775390625,320.7799987792969,137.87753295898438,71.31655883789062,56.91352462768555,1362.449951171875,327.13330078125,47.415000915527344,46.69561767578125,238.8361053466797,49.849998474121094,82.37506103515625,499.239990234375,16.737903594970703,191.9025115966797,129.07369995117188,39.38999938964844,35.57400131225586,59.61166763305664,90.55028533935547,52.26161575317383,139.89999389648438,129.30520629882812,24.450000762939453,262.1700134277344,121.96522521972656,503.2027587890625,438.50421142578125,114.95103454589844,102.53520202636719,122.95899963378906,253.0500030517578,231.4499969482422,136.8763885498047,92.98322296142578,201.7066650390625,58.18899917602539,176.91000366210938,168.90284729003906,167.87637329101562,210.3800048828125,32.150001525878906,226.8300018310547,60.84724426269531,191.33999633789062
2021-06-03,120.76155090332031,144.19000244140625,493.1400146484375,150.3124237060547,179.6356201171875,274.4700012207031,73.42498779296875,131.33726501464844,80.27999877929688,205.78125,159.35049438476562,70.47000122070312,,639.4805908203125,42.22123336791992,138.19000244140625,51.159034729003906,272.54998779296875,2263.171142578125,23.21721649169922,53.59604263305664,123.94000244140625,157.14605712890625,,675.6400146484375,50.01654052734375,365.22100830078125,30.905000686645508,216.0,47.00468826293945,83.61499786376953,31.36800765991211,84.35710144042969,66.2464828491211,139.11000061035156,88.69000244140625,94.18499755859375,138.7058563232422,28.10536766052246,71.28450012207031,22.736331939697266,43.07600021362305,,,55.85873031616211,119.413330078125,116.57496643066406,210.02635192871094,550.2999877929688,51.466033935546875,438.7742919921875,272.2166748046875,33.00111770629883,36.11162567138672,294.7669982910156,281.62847900390625,60.446754455566406,317.3599853515625,135.72183227539062,69.58284759521484,57.020870208740234,1324.1500244140625,324.04241943359375,47.525001525878906,46.36151885986328,237.30050659179688,48.86399841308594,80.11888885498047,489.42999267578125,16.928945541381836,185.34725952148438,129.44607543945312,37.7400016784668,35.220001220703125,58.52166748046875,90.53250122070312,52.67500686645508,133.4499969482422,129.7665557861328,23.6299991607666,257.7900085449219,120.10591888427734,503.50152587890625,436.39581298828125,113.51642608642578,100.8293228149414,119.9000015258789,250.58999633789062,221.3699951171875,138.17739868164062,92.2119140625,190.94667053222656,56.79600143432617,177.72999572753906,164.69688415527344,167.05001831054688,211.14999389648438,31.6299991607666,221.24000549316406,61.05516815185547,184.25
2021-06-04,123.05868530273438,150.72999572753906,504.5,153.56776428222656,180.3013153076172,284.7799987792969,73.48478698730469,134.678955078125,81.58000183105469,206.75018310546875,160.31100463867188,74.36000061035156,,656.2001342773438,43.14776611328125,141.16000366210938,51.65925979614258,286.1400146484375,2282.768310546875,23.360864639282227,54.08613967895508,126.75,159.24732971191406,,682.6500244140625,50.55759048461914,368.6936340332031,31.25749969482422,206.94000244140625,47.65691375732422,84.0999984741211,31.342845916748047,84.67445373535156,66.90145874023438,143.8000030517578,88.44999694824219,95.72750091552734,141.8513641357422,28.000974655151367,70.707763671875,22.939491271972656,44.35200119018555,,,56.65694046020508,121.75479888916016,118.85871887207031,210.8052520751953,558.3599853515625,52.50011444091797,449.846923828125,277.1499938964844,32.992191314697266,36.086997985839844,302.6044006347656,283.0823059082031,62.30357360839844,329.5199890136719,137.3264923095703,71.26610565185547,57.271358489990234,1325.4200439453125,328.3259582519531,47.685001373291016,47.85514831542969,242.2066192626953,48.46699905395508,81.80858612060547,494.739990234375,17.535987854003906,186.50140380859375,127.53018951416016,38.209999084472656,35.10599899291992,59.55833435058594,91.15464782714844,53.75657653808594,132.1699981689453,129.9159393310547,24.030000686645508,263.0400085449219,122.43914794921875,509.7049560546875,440.25128173828125,113.50691223144531,101.6187515258789,120.5739974975586,255.8800048828125,225.8800048828125,140.3036346435547,92.6634292602539,199.68333435058594,57.474998474121094,184.4499969482422,168.3007354736328,167.84722900390625,209.92999267578125,31.549999237060547,223.30999755859375,60.708641052246094,185.8000030517578
2021-06-07,123.06845092773438,148.97000122070312,509.4700012207031,152.54757690429688,179.38943481445312,278.8900146484375,73.17726135253906,133.8314971923828,81.3499984741211,207.0469970703125,159.90049743652344,77.25,,654.9325561523438,42.128578186035156,146.61000061035156,51.29545974731445,395.8500061035156,2265.84228515625,23.28904151916504,54.12990188598633,124.93000030517578,157.6024627685547,,680.5599975585938,50.486629486083984,361.9194641113281,31.084999084472656,215.41000366210938,47.52470016479492,82.79399871826172,30.85517120361328,83.37619018554688,66.71430206298828,142.5,90.62000274658203,96.74500274658203,142.349609375,28.160627365112305,71.8365249633789,22.814136505126953,44.70800018310547,,,56.64854431152344,122.4664306640625,119.292236328125,209.100830078125,560.3499755859375,52.2438850402832,445.25030517578125,277.0400085449219,32.92961120605469,36.02132034301758,304.09356689453125,275.2655334472656,61.758792877197266,331.6099853515625,137.73251342773438,70.4359359741211,56.95824432373047,1325.18994140625,334.5177917480469,47.150001525878906,47.43260955810547,245.123291015625,46.98099899291992,82.08204650878906,494.6600036621094,17.57663345336914,185.7165985107422,124.60005187988281,37.970001220703125,35.02933120727539,59.39500045776367,90.4347152709961,52.87318801879883,127.93000030517578,129.8368682861328,24.459999084472656,260.6000061035156,121.50951385498047,512.7916259765625,436.0835266113281,113.5402603149414,101.01985168457031,123.05500030517578,252.58999633789062,228.1300048828125,139.33273315429688,91.4029312133789,201.7100067138672,59.98500061035156,184.25999450683594,166.95481872558594,163.13214111328125,209.16000366210938,31.239999771118164,225.64999389648438,60.74330139160156,192.72999572753906
2021-06-08,123.88955688476562,147.00999450683594,509.20001220703125,152.94639587402344,181.35914611816406,278.6600036621094,70.8709945678711,130.83648681640625,80.88999938964844,206.72402954101562,163.20550537109375,79.47000122070312,,653.7321166992188,42.10586166381836,151.05999755859375,51.21360397338867,395.3699951171875,2270.98828125,23.298017501831055,53.88486099243164,125.22000122070312,158.28700256347656,,677.9099731445312,50.052024841308594,361.2535400390625,31.092500686645508,215.13999938964844,47.70979690551758,84.5530014038086,30.880346298217773,83.52767181396484,66.84532165527344,136.75999450683594,92.4800033569336,97.48750305175781,142.13467407226562,28.09308624267578,73.85508728027344,22.922203063964844,45.47200012207031,,,56.72417068481445,123.2987289428711,119.10055541992188,210.58531188964844,561.3099975585938,52.161521911621094,453.08978271484375,277.8900146484375,31.508386611938477,35.93922805786133,299.5591735839844,276.13409423828125,60.61504364013672,331.0,140.8645782470703,69.9956283569336,56.61831283569336,1311.530029296875,331.6355285644531,47.08000183105469,49.84992599487305,243.9257354736328,45.9379997253418,78.65383911132812,492.3900146484375,17.415023803710938,183.03909301757812,125.1439437866211,37.59000015258789,35.270668029785156,58.88999938964844,91.5723648071289,52.93548583984375,127.0,128.6241455078125,24.3799991607666,263.1499938964844,122.3115463256836,504.25830078125,438.923828125,114.54021453857422,101.19227600097656,123.0739974975586,254.99000549316406,228.92999267578125,141.15802001953125,92.29656219482422,201.19667053222656,60.48699951171875,184.8300018310547,165.52037048339844,164.78482055664062,211.1300048828125,30.040000915527344,224.72000122070312,59.599830627441406,194.64999389648438
2021-06-09,124.27078247070312,144.85000610351562,514.6799926757812,154.3004608154297,180.7299346923828,275.5,72.13517761230469,129.6712188720703,79.95999908447266,209.0808868408203,164.0574951171875,80.25,,655.5183715820312,42.14220428466797,148.0500030517578,52.3868522644043,406.94000244140625,2281.161376953125,23.172327041625977,54.042388916015625,125.19000244140625,157.6500244140625,,676.469970703125,49.9012336730957,361.50091552734375,30.63249969482422,213.9499969482422,47.61284255981445,84.83100128173828,30.776517868041992,83.63585662841797,66.66752624511719,136.97999572753906,91.72000122070312,97.50749969482422,142.447265625,28.467662811279297,72.73458862304688,22.74065589904785,45.104000091552734,,,57.682029724121094,123.72333526611328,119.57229614257812,208.7526397705078,566.6599731445312,52.161521911621094,456.0794677734375,280.0799865722656,31.267038345336914,35.33176040649414,299.9028625488281,274.2270812988281,60.28608322143555,327.2200012207031,139.02789306640625,69.6286849975586,56.636207580566406,1316.6600341796875,328.2265625,46.619998931884766,49.47652053833008,244.9108123779297,51.29899978637695,76.82740783691406,485.80999755859375,17.32047462463379,182.2358856201172,122.3852767944336,37.2400016784668,35.198665618896484,58.731666564941406,92.06121063232422,52.43149948120117,125.5199966430664,128.3869171142578,24.170000076293945,263.6000061035156,121.11759185791016,519.6224365234375,440.1536560058594,114.36878967285156,101.07432556152344,121.55599975585938,256.05999755859375,232.30999755859375,142.98329162597656,91.55345916748047,199.5933380126953,58.529998779296875,183.58999633789062,165.0953369140625,165.19314575195312,213.55999755859375,30.559999465942383,225.4600067138672,60.076263427734375,195.99000549316406
2021-06-10,123.27373504638672,146.1199951171875,535.52001953125,155.2000732421875,183.29531860351562,277.5,72.37435913085938,132.08840942382812,81.55999755859375,213.55023193359375,167.4824981689453,81.86000061035156,,672.1802368164062,42.57277297973633,150.72000122070312,53.514625549316406,414.7099914550781,2291.40380859375,22.902986526489258,53.68355941772461,128.50999450683594,159.17129516601562,,682.9099731445312,50.20280456542969,364.4028015136719,30.982500076293945,228.60000610351562,48.50304412841797,85.68900299072266,30.41469383239746,84.41238403320312,66.5926742553711,144.85000610351562,94.5,99.74500274658203,142.29100036621094,28.682575225830078,71.67173767089844,22.77091407775879,45.790000915527344,,,58.21977996826172,125.22306823730469,120.9224853515625,207.3231658935547,580.530029296875,52.5092658996582,459.0009460449219,286.3800048828125,31.231285095214844,35.25788116455078,304.81915283203125,274.08544921875,60.92119216918945,329.79998779296875,139.1728973388672,70.3763198852539,56.92247009277344,1373.3499755859375,330.42303466796875,46.8849983215332,50.901371002197266,248.4358673095703,50.8650016784668,77.4329605102539,487.2699890136719,17.387081146240234,185.62423706054688,121.71887969970703,37.77000045776367,35.18266677856445,60.40833282470703,93.13665771484375,51.93317794799805,123.19999694824219,129.70506286621094,24.139999389648438,269.4700012207031,122.32979583740234,529.7689208984375,442.8085632324219,112.34981536865234,101.81836700439453,123.11000061035156,262.07000732421875,238.55999755859375,142.24539184570312,92.07080841064453,203.3733367919922,59.027000427246094,184.97000122070312,166.46778869628906,166.068115234375,216.77000427246094,30.139999389648438,229.07000732421875,60.31882858276367,204.91000366210938
2021-06-11,124.48584747314453,148.44000244140625,541.260009765625,155.4412384033203,182.9196319580078,277.510009765625,72.39997100830078,131.76100158691406,81.30999755859375,211.9178924560547,167.3415069580078,82.41999816894531,,669.3856811523438,42.757171630859375,157.44000244140625,53.450958251953125,396.6400146484375,2271.609619140625,23.262104034423828,54.23492431640625,129.27999877929688,160.35977172851562,,686.739990234375,50.45116424560547,363.28009033203125,31.209999084472656,231.27000427246094,48.27388000488281,86.9749984741211,30.590892791748047,84.82830810546875,66.66752624511719,154.16000366210938,95.4800033569336,100.04750061035156,143.0041046142578,28.805387496948242,71.90243530273438,22.6931095123291,45.78799819946289,,,57.78285217285156,124.8421859741211,120.67768096923828,206.34266662597656,584.469970703125,52.93937683105469,459.8092346191406,288.0899963378906,31.490507125854492,35.643699645996094,305.5827941894531,274.92578125,61.048580169677734,338.29998779296875,138.69923400878906,70.67443084716797,57.0566520690918,1392.75,329.23040771484375,46.75,51.1961555480957,249.0636444091797,51.64400100708008,77.4915542602539,488.7699890136719,17.786460876464844,185.6981201171875,123.00267028808594,37.779998779296875,35.650665283203125,60.973331451416016,93.32331085205078,52.306915283203125,121.97000122070312,129.78416442871094,24.670000076293945,271.45001220703125,122.69434356689453,523.3065795898438,448.2452087402344,114.35929107666016,102.1359634399414,124.7020034790039,263.07000732421875,244.08999633789062,141.11920166015625,92.02376556396484,203.29666137695312,59.98099899291992,186.4199981689453,167.06103515625,167.40969848632812,193.02000427246094,30.790000915527344,230.08999633789062,60.24085998535156,207.7899932861328
