symbol,period,year,net_income,eps,roe,pe,pbr,revenue,operating_income,gross_profit,profit_margin,total_assets,total_liabilities,debt_to_equity,current_ratio,market_cap,dividend_yield,beta,forward_pe,operating_cashflow,capex,free_cashflow
GOOGL,2024-09-30,2024,26301000000.0,9.24,,26.309525,8.107928,88268000000.0,28521000000.0,51794000000.0,0.2979675533602211,430266000000.0,,,1.9496924619135427,2985129934848,0.34,1.011,27.131697,,,0
GOOGL,2024-06-30,2024,23619000000.0,9.24,,26.309525,8.107928,84742000000.0,27425000000.0,49235000000.0,0.2787165750159307,414770000000.0,,,2.079178057577041,2985129934848,0.34,1.011,27.131697,,,0
GOOGL,2024-03-31,2024,,9.24,,26.309525,8.107928,,,,,,,,,2985129934848,0.34,1.011,27.131697,,,0
AMZN,2025-06-30,2025,18164000000.0,6.54,,33.573395,7.012552,167702000000.0,19171000000.0,86893000000.0,0.10831117100571251,682170000000.0,,,1.0240689917130767,2343934361600,,1.309,35.70244,,,0
AMZN,2025-03-31,2025,17127000000.0,6.54,,33.573395,7.012552,155667000000.0,18405000000.0,78691000000.0,0.1100233190078822,643256000000.0,,,1.0481009927854188,2343934361600,,1.309,35.70244,,,0
AMZN,2024-12-31,2024,20004000000.0,6.54,,33.573395,7.012552,187792000000.0,21203000000.0,88899000000.0,0.10652210956803272,624894000000.0,,,1.063734806137178,2343934361600,,1.309,35.70244,,,0
AMZN,2024-09-30,2024,15328000000.0,6.54,,33.573395,7.012552,158877000000.0,17411000000.0,77900000000.0,0.09647714898946984,584626000000.0,,,1.088650396031633,2343934361600,,1.309,35.70244,,,0
AMZN,2024-06-30,2024,13485000000.0,6.54,,33.573395,7.012552,147977000000.0,14672000000.0,74192000000.0,0.0911290268082202,554818000000.0,,,1.095686973674228,2343934361600,,1.309,35.70244,,,0
META,2025-06-30,2025,18337000000.0,27.25,,26.949724,9.47196,47516000000.0,20441000000.0,39025000000.0,0.38591211381429413,294744000000.0,,,1.9732743600053613,1868405276672,0.28,1.242,29.026878,,,0
META,2025-03-31,2025,16644000000.0,27.25,,26.949724,9.47196,42314000000.0,17555000000.0,34742000000.0,0.39334499220116276,280213000000.0,,,2.6623487754499853,1868405276672,0.28,1.242,29.026878,,,0
META,2024-12-31,2024,20838000000.0,27.25,,26.949724,9.47196,48385000000.0,23364000000.0,39546000000.0,0.43067066239537044,276054000000.0,,,2.9778842719371355,1868405276672,0.28,1.242,29.026878,,,0
META,2024-09-30,2024,15688000000.0,27.25,,26.949724,9.47196,40589000000.0,17350000000.0,33214000000.0,0.3865086599817685,256408000000.0,,,2.7322832283228324,1868405276672,0.28,1.242,29.026878,,,0
META,2024-06-30,2024,13465000000.0,27.25,,26.949724,9.47196,39071000000.0,14847000000.0,31763000000.0,0.34462900872770086,230238000000.0,,,2.8303584654125316,1868405276672,0.28,1.242,29.026878,,,0
AVGO,2025-07-31,2025,4140000000.0,3.89,,84.80977,5.570828,15952000000.0,6074000000.0,10703000000.0,0.25952858575727183,165621000000.0,,,1.4965277777777777,1579772805120,0.72,1.172,53.470016,,,0
AVGO,2025-04-30,2025,4965000000.0,3.89,,84.80977,5.570828,15004000000.0,5915000000.0,10197000000.0,0.33091175686483604,164630000000.0,,,1.0769044035539157,1579772805120,0.72,1.172,53.470016,,,0
AVGO,2025-01-31,2025,5503000000.0,3.89,,84.80977,5.570828,14916000000.0,6432000000.0,10145000000.0,0.3689326897291499,165358000000.0,,,1.0038259206121474,1579772805120,0.72,1.172,53.470016,,,0
AVGO,2024-10-31,2024,4324000000.0,3.89,,84.80977,5.570828,14054000000.0,4945000000.0,9002000000.0,0.3076704141169774,165645000000.0,,,1.1735641133137689,1579772805120,0.72,1.172,53.470016,,,0
AVGO,2024-07-31,2024,-1875000000.0,3.89,,84.80977,5.570828,13072000000.0,4091000000.0,8356000000.0,-0.14343635250917994,167966000000.0,,,1.0377711877633837,1579772805120,0.72,1.172,53.470016,,,0
TSLA,2025-06-30,2025,1172000000.0,1.69,,263.14792,18.54468,22496000000.0,923000000.0,3878000000.0,0.05209815078236131,128567000000.0,,,2.0372234070914423,1478761119744,,2.065,137.25926,,,0
TSLA,2025-03-31,2025,409000000.0,1.69,,263.14792,18.54468,19335000000.0,493000000.0,3153000000.0,0.021153348849237134,125111000000.0,,,1.996067623432931,1478761119744,,2.065,137.25926,,,0
TSLA,2024-12-31,2024,2314000000.0,1.69,,263.14792,18.54468,25707000000.0,1590000000.0,4179000000.0,0.09001439296689617,122070000000.0,,,2.024912390270983,1478761119744,,2.065,137.25926,,,0
TSLA,2024-09-30,2024,2167000000.0,1.69,,263.14792,18.54468,25182000000.0,2772000000.0,4997000000.0,0.08605353029942021,119852000000.0,,,1.8438368708506394,1478761119744,,2.065,137.25926,,,0
TSLA,2024-06-30,2024,1400000000.0,1.69,,263.14792,18.54468,25500000000.0,2227000000.0,4578000000.0,0.054901960784313725,112832000000.0,,,1.9105268852104296,1478761119744,,2.065,137.25926,,,0
TSLA,2024-03-31,2024,,1.69,,263.14792,18.54468,,,,,,,,,1478761119744,,2.065,137.25926,,,0
NFLX,2025-06-30,2025,3125413000.0,23.26,,51.544285,20.417227,11079166000.0,3774694000.0,5753855000.0,0.28209821930639906,53099664000.0,,,1.3411604463487445,514420113408,,1.605,50.417156,,,0
NFLX,2025-03-31,2025,2890351000.0,23.26,,51.544285,20.417227,10542801000.0,3346999000.0,5279654000.0,0.2741539938010781,52087644000.0,,,1.2036434769536388,514420113408,,1.605,50.417156,,,0
NFLX,2024-12-31,2024,1868607000.0,23.26,,51.544285,20.417227,10246513000.0,2272766000.0,4479149000.0,0.18236516168964018,53630374000.0,,,1.2180280603231866,514420113408,,1.605,50.417156,,,0
NFLX,2024-09-30,2024,2363509000.0,23.26,,51.544285,20.417227,9824703000.0,2909477000.0,4704819000.0,0.24056798459963624,52281844000.0,,,1.1328062264327514,514420113408,,1.605,50.417156,,,0
NFLX,2024-06-30,2024,2147306000.0,23.26,,51.544285,20.417227,9559310000.0,2602837000.0,4385167000.0,0.2246298111474573,49098895000.0,,,0.9482794820788444,514420113408,,1.605,50.417156,,,0
NFLX,2024-03-31,2024,,23.26,,51.544285,20.417227,,,,,,,,,514420113408,,1.605,50.417156,,,0
COST,2025-08-31,2025,,18.42,,50.251358,14.067754,,,,,,,,,410273447936,0.57,0.954,47.034042,,,0
COST,2025-05-31,2025,1903000000.0,18.42,,50.251358,14.067754,63205000000.0,2530000000.0,8209000000.0,0.030108377501779922,75482000000.0,,,1.0152212671971048,410273447936,0.57,0.954,47.034042,,,0
COST,2025-02-28,2025,1788000000.0,18.42,,50.251358,14.067754,63723000000.0,2316000000.0,7979000000.0,0.028058942610988184,73224000000.0,,,0.9972431687342901,410273447936,0.57,0.954,47.034042,,,0
COST,2024-11-30,2024,1798000000.0,18.42,,50.251358,14.067754,62151000000.0,2196000000.0,8042000000.0,0.028929542565686795,73386000000.0,,,0.9799942542244509,410273447936,0.57,0.954,47.034042,,,0
COST,2024-08-31,2024,2354000000.0,18.42,,50.251358,14.067754,79697000000.0,3042000000.0,10109000000.0,0.029536870898528175,69831000000.0,,,0.965655312429506,410273447936,0.57,0.954,47.034042,,,0
COST,2024-05-31,2024,1681000000.0,18.42,,50.251358,14.067754,58515000000.0,2197000000.0,7342000000.0,0.02872767666410322,67911000000.0,,,0.9413760923050819,410273447936,0.57,0.954,47.034042,,,0
PLTR,2025-06-30,2025,326727000.0,0.31,,588.4516,72.968,1003697000.0,269317000.0,810763000.0,0.32552353947456253,7365688000.0,,,6.323549979809846,421256855552,,2.592,388.12766,,,0
PLTR,2025-03-31,2025,214031000.0,0.31,,588.4516,72.968,883855000.0,176048000.0,710885000.0,0.24215623603419112,6736917000.0,,,6.4940249709802025,421256855552,,2.592,388.12766,,,0
PLTR,2024-12-31,2024,79009000.0,0.31,,588.4516,72.968,827519000.0,11043000.0,652986000.0,0.09547696185827757,6340884000.0,,,5.958013810995384,421256855552,,2.592,388.12766,,,0
PLTR,2024-09-30,2024,143525000.0,0.31,,588.4516,72.968,725516000.0,113140000.0,578877000.0,0.19782472061263984,5768097000.0,,,5.672720296442018,421256855552,,2.592,388.12766,,,0
PLTR,2024-06-30,2024,134126000.0,0.31,,588.4516,72.968,678134000.0,105339000.0,549572000.0,0.19778686808211945,5191880000.0,,,5.91572388306633,421256855552,,2.592,388.12766,,,0
ASML,2025-06-30,2025,2676200000.0,28.17,,34.365993,21.286997,7691700000.0,3137900000.0,4043700000.0,0.3479334867454529,44849100000.0,,,1.4348141383755908,375761895424,0.76,1.249,36.258053,,,0
ASML,2025-03-31,2025,2355000000.0,28.17,,34.365993,21.286997,7741500000.0,2737900000.0,4179700000.0,0.3042046115093974,45478800000.0,,,1.518679754357506,375761895424,0.76,1.249,36.258053,,,0
ASML,2024-12-31,2024,2693400000.0,28.17,,34.365993,21.286997,9262800000.0,3355400000.0,4789800000.0,0.2907760072548258,48589600000.0,,,1.532930368951794,375761895424,0.76,1.249,36.258053,,,0
ASML,2024-09-30,2024,2076500000.0,28.17,,34.365993,21.286997,7467300000.0,2441200000.0,3793400000.0,0.2780790915056312,41766100000.0,,,1.5514982091377654,375761895424,0.76,1.249,36.258053,,,0
ASML,2024-06-30,2024,1577900000.0,28.17,,34.365993,21.286997,6242800000.0,1834600000.0,3212200000.0,0.25275517396040237,40741000000.0,,,1.5157913006824817,375761895424,0.76,1.249,36.258053,,,0
ASML,2024-03-31,2024,,28.17,,34.365993,21.286997,,,,,,,,,375761895424,0.76,1.249,36.258053,,,0
TMUS,2025-06-30,2025,3222000000.0,10.68,,22.413858,4.4166865,21132000000.0,5213000000.0,13756000000.0,0.1524701873935264,212643000000.0,,,1.2112930956474528,269402800128,1.72,0.599,22.434864,,,0
TMUS,2025-03-31,2025,2953000000.0,10.68,,22.413858,4.4166865,20886000000.0,4800000000.0,13486000000.0,0.14138657473905966,214633000000.0,,,1.1613271826992255,269402800128,1.72,0.599,22.434864,,,0
TMUS,2024-12-31,2024,2981000000.0,10.68,,22.413858,4.4166865,21872000000.0,4586000000.0,13087000000.0,0.13629297732260423,208035000000.0,,,0.9122633092098741,269402800128,1.72,0.599,22.434864,,,0
TMUS,2024-09-30,2024,3059000000.0,10.68,,22.413858,4.4166865,20162000000.0,4796000000.0,13133000000.0,0.15172105941870845,210742000000.0,,,1.0752087807205917,269402800128,1.72,0.599,22.434864,,,0
TMUS,2024-06-30,2024,2925000000.0,10.68,,22.413858,4.4166865,19772000000.0,4630000000.0,13020000000.0,0.14793647582439814,208557000000.0,,,0.8376161125097664,269402800128,1.72,0.599,22.434864,,,0
TMUS,2024-03-31,2024,,10.68,,22.413858,4.4166865,,,,,,,,,269402800128,1.72,0.599,22.434864,,,0
CSCO,2025-07-31,2025,2550000000.0,2.59,,26.416988,5.7840896,14673000000.0,3122000000.0,9280000000.0,0.17378859129012472,122291000000.0,,,0.9977754962354551,270477737984,2.44,0.987,17.543589,,,0
CSCO,2025-04-30,2025,2491000000.0,2.59,,26.416988,5.7840896,14149000000.0,3236000000.0,9278000000.0,0.17605484486536152,119782000000.0,,,0.9513262791708943,270477737984,2.44,0.987,17.543589,,,0
CSCO,2025-01-31,2025,2428000000.0,2.59,,26.416988,5.7840896,13991000000.0,3123000000.0,9111000000.0,0.17354013294260595,121375000000.0,,,0.8666133586546391,270477737984,2.44,0.987,17.543589,,,0
CSCO,2024-10-31,2024,2711000000.0,2.59,,26.416988,5.7840896,13841000000.0,3023000000.0,9121000000.0,0.19586735062495483,123333000000.0,,,0.8818509200335455,270477737984,2.44,0.987,17.543589,,,0
CSCO,2024-07-31,2024,2162000000.0,2.59,,26.416988,5.7840896,13642000000.0,2730000000.0,8781000000.0,0.15848116112007038,124413000000.0,,,0.9082889808791642,270477737984,2.44,0.987,17.543589,,,0
CSCO,2024-04-30,2024,,2.59,,26.416988,5.7840896,,,,,,,,,270477737984,2.44,0.987,17.543589,,,0
AMD,2025-06-30,2025,872000000.0,1.7,,95.17058,4.39826,7685000000.0,-134000000.0,3059000000.0,0.11346779440468445,74820000000.0,,,2.491008838768668,262559858688,,1.916,31.723528,,,0
AMD,2025-03-31,2025,709000000.0,1.7,,95.17058,4.39826,7438000000.0,806000000.0,3736000000.0,0.0953213229362732,71550000000.0,,,2.8034532000519277,262559858688,,1.916,31.723528,,,0
AMD,2024-12-31,2024,482000000.0,1.7,,95.17058,4.39826,7658000000.0,1057000000.0,3882000000.0,0.06294071559153826,69226000000.0,,,2.6162615025408598,262559858688,,1.916,31.723528,,,0
AMD,2024-09-30,2024,771000000.0,1.7,,95.17058,4.39826,6819000000.0,724000000.0,3419000000.0,0.11306643202815662,69636000000.0,,,2.498,262559858688,,1.916,31.723528,,,0
AMD,2024-06-30,2024,265000000.0,1.7,,95.17058,4.39826,5835000000.0,269000000.0,2864000000.0,0.04541559554413025,67886000000.0,,,2.8192090395480225,262559858688,,1.916,31.723528,,,0
AMD,2024-03-31,2024,,1.7,,95.17058,4.39826,,,,,,,,,262559858688,,1.916,31.723528,,,0
AZN,2025-06-30,2025,2450000000.0,2.76,,27.797102,2.65918,14457000000.0,3508000000.0,11984000000.0,0.16946807774780384,112422000000.0,,,0.8629234255725191,237870465024,2.12,0.165,13.9745,,,0
AZN,2025-03-31,2025,2916000000.0,2.76,,27.797102,2.65918,13588000000.0,3674000000.0,11347000000.0,0.2146011186340889,106253000000.0,,,0.8973531532150091,237870465024,2.12,0.165,13.9745,,,0
AZN,2024-12-31,2024,1500000000.0,2.76,,27.797102,2.65918,14891000000.0,2036000000.0,12166000000.0,0.10073198576321268,104035000000.0,,,0.9268283930237565,237870465024,2.12,0.165,13.9745,,,0
AZN,2024-09-30,2024,1429000000.0,2.76,,27.797102,2.65918,13565000000.0,2106000000.0,10484000000.0,0.10534463693328419,104922000000.0,,,0.9316901951708709,237870465024,2.12,0.165,13.9745,,,0
AZN,2024-06-30,2024,1927000000.0,2.76,,27.797102,2.65918,12938000000.0,2746000000.0,10755000000.0,0.14894110372545988,104340000000.0,,,0.8889238955401526,237870465024,2.12,0.165,13.9745,,,0
AZN,2024-03-31,2024,,2.76,,27.797102,2.65918,,,,,,,,,237870465024,2.12,0.165,13.9745,,,0
