Date,DOWJONES,NASDAQ,DXY,S&P500,VIX,US10Y
2020-04-03,21052.5293,7373.080078,100.5800018,2488.649902,46.79999924,0.587000012
2020-04-06,22679.99023,7913.240234,100.6900024,2663.679932,45.24000168,0.675999999
2020-04-07,22653.85938,7887.259766,99.98000336,2659.409912,46.70000076,0.736000001
2020-04-08,23433.57031,8090.899902,100.1200027,2749.97998,43.34999847,0.763999999
2020-04-09,23719.36914,8153.580078,99.51999664,2789.820068,41.66999817,0.728999972
2020-04-13,23390.76953,8192.419922,99.34999847,2761.629883,41.16999817,0.749000013
2020-04-14,23949.75977,8515.740234,98.88999939,2846.060059,37.75999832,0.751999974
2020-04-15,23504.34961,8393.179688,99.45999908,2783.360107,40.84000015,0.638000011
2020-04-16,23537.67969,8532.360352,100.0299988,2799.550049,40.11000061,0.609000027
2020-04-17,24242.49023,8650.139648,99.77999878,2874.560059,38.15000153,0.653999984
2020-04-20,23650.43945,8560.730469,99.95999908,2823.159912,43.83000183,0.625999987
2020-04-21,23018.88086,8263.230469,100.2600021,2736.560059,45.40999985,0.57099998
2020-04-22,23475.82031,8495.379883,100.3899994,2799.310059,41.97999954,0.619000018
2020-04-23,23515.25977,8494.75,100.4300003,2797.800049,41.38000107,0.612999976
2020-04-24,23775.26953,8634.519531,100.3799973,2836.73999,35.93000031,0.596000016
2020-04-27,24133.7793,8730.160156,100.0400009,2878.47998,33.29000092,0.656000018
2020-04-28,24101.55078,8607.730469,99.87000275,2863.389893,33.56999969,0.610000014
2020-04-29,24633.85938,8914.709961,99.56999969,2939.51001,31.22999954,0.626999974
2020-04-30,24345.7207,8889.549805,99.01999664,2912.429932,34.15000153,0.621999979
2020-05-01,23723.68945,8604.950195,98.80000305,2830.709961,37.18999863,0.64200002
2020-05-04,23749.75977,8710.709961,99.48000336,2842.73999,35.97000122,0.637000024
2020-05-05,23883.08984,8809.120117,99.70999908,2868.439941,33.61000061,0.657000005
2020-05-06,23664.64063,8854.389648,100.0899963,2848.419922,34.11999893,0.711000025
2020-05-07,23875.89063,8979.660156,99.88999939,2881.189941,31.44000053,0.630999982
2020-05-08,24331.32031,9121.320313,99.73000336,2929.800049,27.97999954,0.681999981
2020-05-11,24221.99023,9192.339844,100.2399979,2930.189941,27.56999969,0.726000011
2020-05-12,23764.7793,9002.549805,99.93000031,2870.120117,33.04000092,0.677999973
2020-05-13,23247.9707,8863.169922,100.2399979,2820,35.27999878,0.648999989
2020-05-14,23625.33984,8943.719727,100.4700012,2852.5,32.61000061,0.619000018
2020-05-15,23685.41992,9014.55957,100.4000015,2863.699951,31.88999939,0.639999986
2020-05-18,24597.36914,9234.830078,99.66999817,2953.909912,29.29999924,0.744000018
2020-05-19,24206.85938,9185.099609,99.37000275,2922.939941,30.53000069,0.711000025
2020-05-20,24575.90039,9375.780273,99.12000275,2971.610107,27.98999977,0.680000007
2020-05-21,24474.11914,9284.879883,99.37000275,2948.51001,29.53000069,0.676999986
2020-05-22,24465.16016,9324.589844,99.86000061,2955.449951,28.15999985,0.657000005
2020-05-26,24995.10938,9340.219727,98.91000366,2991.77002,28.01000023,0.698000014
2020-05-27,25548.26953,9412.360352,99.05999756,3036.129883,27.62000084,0.680000007
2020-05-28,25400.64063,9368.990234,98.37999725,3029.72998,28.59000015,0.704999983
2020-05-29,25383.10938,9489.870117,98.33999634,3044.310059,27.51000023,0.648000002
2020-06-01,25475.01953,9552.049805,97.83000183,3055.72998,28.22999954,0.662
2020-06-02,25742.65039,9608.379883,97.66999817,3080.820068,26.84000015,0.680000007
2020-06-03,26269.89063,9682.910156,97.27999878,3122.870117,25.65999985,0.760999978
2020-06-04,26281.82031,9615.80957,96.68000031,3112.350098,25.80999947,0.819999993
2020-06-05,27110.98047,9814.080078,96.94000244,3193.929932,24.52000046,0.903999984
2020-06-08,27572.43945,9924.75,96.62000275,3232.389893,25.80999947,0.884000003
2020-06-09,27272.30078,9953.75,96.31999969,3207.179932,27.56999969,0.828999996
2020-06-10,26989.99023,10020.34961,95.95999908,3190.139893,27.56999969,0.748000026
2020-06-11,25128.16992,9492.730469,96.73000336,3002.100098,40.79000092,0.652999997
2020-06-12,25605.53906,9588.80957,97.31999969,3041.310059,36.09000015,0.699000001
2020-06-15,25763.16016,9726.019531,96.68000031,3066.590088,34.40000153,0.702000022
2020-06-16,26289.98047,9895.870117,96.95999908,3124.73999,33.66999817,0.755999982
2020-06-17,26119.60938,9910.530273,97.16000366,3113.48999,33.47000122,0.73299998
2020-06-18,26080.09961,9943.049805,97.41999817,3115.340088,32.93999863,0.694000006
2020-06-19,25871.46094,9946.120117,97.62000275,3097.73999,35.11999893,0.697000027
2020-06-22,26024.96094,10056.48047,97.04000092,3117.860107,31.77000046,0.703999996
2020-06-23,26156.09961,10131.37012,96.69000244,3131.290039,31.37000084,0.708999991
2020-06-24,25445.93945,9909.169922,97.15000153,3050.330078,33.84000015,0.684000015
2020-06-25,25745.59961,10017,97.43000031,3083.76001,32.22000122,0.674000025
2020-06-26,25015.55078,9757.219727,97.5,3009.050049,34.72999954,0.635999978
2020-06-29,25595.80078,9874.150391,97.54000092,3053.23999,31.78000069,0.635999978
2020-06-30,25812.88086,10058.76953,97.38999939,3100.290039,30.43000031,0.652999997
2020-07-01,25734.9707,10154.62988,97.19999695,3115.860107,28.62000084,0.681999981
2020-07-02,25827.35938,10207.62988,97.31999969,3130.01001,27.68000031,0.66900003
2020-07-06,26287.0293,10433.65039,96.79000092,3179.719971,27.94000053,0.684000015
2020-07-07,25890.17969,10343.88965,96.87999725,3145.320068,29.43000031,0.649999976
2020-07-08,26067.2793,10492.5,96.43000031,3169.939941,28.07999992,0.652999997
2020-07-09,25706.08984,10547.75,96.69999695,3152.050049,29.26000023,0.605000019
2020-07-10,26075.30078,10617.44043,96.65000153,3185.040039,27.29000092,0.633000016
2020-07-13,26085.80078,10390.83984,96.45999908,3155.219971,32.18999863,0.639999986
2020-07-14,26642.58984,10488.58008,96.26000214,3197.52002,29.52000046,0.61500001
2020-07-15,26870.09961,10550.49023,96.08000183,3226.560059,27.76000023,0.629999995
2020-07-16,26734.71094,10473.83008,96.34999847,3215.570068,28,0.611999989
2020-07-17,26671.94922,10503.19043,95.94000244,3224.72998,25.68000031,0.628000021
2020-07-20,26680.86914,10767.08984,95.83000183,3251.840088,24.45999908,0.620000005
2020-07-21,26840.40039,10680.36035,95.12000275,3257.300049,24.84000015,0.606999993
2020-07-22,27005.83984,10706.12988,94.97000122,3276.02002,24.31999969,0.595000029
2020-07-23,26652.33008,10461.41992,94.69000244,3235.659912,26.07999992,0.582000017
2020-07-24,26469.89063,10363.17969,94.44000244,3215.629883,25.84000015,0.588999987
2020-07-27,26584.76953,10536.26953,93.66999817,3239.409912,24.73999977,0.609000027
2020-07-28,26379.2793,10402.08984,93.76000214,3218.439941,25.44000053,0.58099997
2020-07-29,26539.57031,10542.94043,93.26000214,3258.439941,24.10000038,0.578999996
2020-07-30,26313.65039,10587.80957,93.01999664,3246.219971,24.76000023,0.541000009
2020-07-31,26428.32031,10745.26953,93.48999786,3271.120117,24.45999908,0.536000013
2020-08-03,26664.40039,10902.7998,93.5,3294.610107,24.28000069,0.563000023
2020-08-04,26828.4707,10941.16992,93.37999725,3306.51001,23.76000023,0.514999986
2020-08-05,27201.51953,10998.40039,92.83000183,3327.77002,22.98999977,0.542999983
2020-08-06,27386.98047,11108.07031,92.79000092,3349.159912,22.64999962,0.536000013
2020-08-07,27433.48047,11010.98047,93.44000244,3351.280029,22.20999908,0.561999977
2020-08-10,27791.43945,10968.36035,93.58000183,3360.469971,22.12999916,0.574000001
2020-08-11,27686.91016,10782.82031,93.62999725,3333.689941,24.03000069,0.657999992
2020-08-12,27976.83984,11012.24023,93.44000244,3380.350098,22.28000069,0.670000017
2020-08-13,27896.7207,11042.5,93.33999634,3373.429932,22.12999916,0.716000021
2020-08-14,27931.01953,11019.2998,93.09999847,3372.850098,22.04999924,0.708999991
2020-08-17,27844.91016,11129.73047,92.84999847,3381.98999,21.35000038,0.683000028
2020-08-18,27778.07031,11210.83984,92.26999664,3389.780029,21.51000023,0.66900003
2020-08-19,27692.88086,11146.45996,92.88999939,3374.850098,22.54000092,0.675000012
2020-08-20,27739.73047,11264.9502,92.79000092,3385.51001,22.71999931,0.643999994
2020-08-21,27930.33008,11311.7998,93.25,3397.159912,22.54000092,0.639999986
2020-08-24,28308.46094,11379.71973,93.30000305,3431.280029,22.37000084,0.646000028
2020-08-25,28248.43945,11466.46973,93.01999664,3443.620117,22.03000069,0.681999981
2020-08-26,28331.91992,11665.05957,93.01000214,3478.72998,23.27000046,0.686999977
2020-08-27,28492.26953,11625.33984,93.01000214,3484.550049,24.46999931,0.745999992
2020-08-28,28653.86914,11695.62988,92.37000275,3508.01001,22.95999908,0.728999972
2020-08-31,28430.05078,11775.45996,92.13999939,3500.310059,26.40999985,0.693000019
2020-09-01,28645.66016,11939.66992,92.33999634,3526.649902,26.12000084,0.671999991
2020-09-02,29100.5,12056.44043,92.84999847,3580.840088,26.56999969,0.651000023
2020-09-03,28292.73047,11458.09961,92.73999786,3455.060059,33.59999847,0.621999979
2020-09-04,28133.31055,11313.12988,92.72000122,3426.959961,30.75,0.721000016
2020-09-08,27500.89063,10847.69043,93.48000336,3331.840088,31.45999908,0.684000015
2020-09-09,27940.4707,11141.55957,93.26000214,3398.959961,28.80999947,0.703000009
2020-09-10,27534.58008,10919.58984,93.33999634,3339.189941,29.70999908,0.685000002
2020-09-11,27665.64063,10853.5498,93.33000183,3340.969971,26.87000084,0.66900003
2020-09-14,27993.33008,11056.65039,93.06999969,3383.540039,25.85000038,0.671000004
2020-09-15,27995.59961,11190.32031,93.05000305,3401.199951,25.59000015,0.67900002
2020-09-16,28032.38086,11050.46973,93.20999908,3385.48999,26.04000092,0.686999977
2020-09-17,27901.98047,10910.28027,92.97000122,3357.01001,26.45999908,0.684000015
2020-09-18,27657.41992,10793.28027,92.93000031,3319.469971,25.82999992,0.694000006
